     case    educ    size   source  response
      26       1       1       3       1
      26       1       1       4       1
      26       1       1       5       0
      27       1       1       1       0
      27       1       1       2       0
      27       1       1       3       1
      27       1       1       4       1
      27       1       1       5       0
      28       1       1       1       0
      28       1       1       2       0
      28       1       1       3       1
      28       1       1       4       1
      28       1       1       5       0
      29       1       1       1       0
      29       1       1       2       0
      29       1       1       3       1
      29       1       1       4       1
      29       1       1       5       0
      30       1       1       1       0
      30       1       1       2       0
      30       1       1       3       1
      30       1       1       4       0
      30       1       1       5       1
      31       1       1       1       0
      31       1       1       2       0
      31       1       1       3       0
      31       1       1       4       1
      31       1       1       5       1
      32       1       1       1       0
      32       1       1       2       0
      32       1       1       3       0
      32       1       1       4       1
      32       1       1       5       1
      33       1       1       1       0
      33       1       1       2       0
      33       1       1       3       0
      33       1       1       4       1
      33       1       1       5       1
      34       1       1       1       0
      34       1       1       2       0
      34       1       1       3       0
      34       1       1       4       1
      34       1       1       5       1
      35       1       1       1       0
      35       1       1       2       0
      35       1       1       3       0
      35       1       1       4       1
      35       1       1       5       1
      36       1       1       1       0
      36       1       1       2       1
      36       1       1       3       1
      36       1       1       4       1
      36       1       1       5       0
      37       1       1       1       0
      37       1       1       2       1
      37       1       1       3       1
      37       1       1       4       0
      37       1       1       5       1
      38       1       1       1       0
      38       1       1       2       1
      38       1       1       3       0
      38       1       1       4       1
      38       1       1       5       1
      39       1       1       1       0
      39       1       1       2       0
      39       1       1       3       1
      39       1       1       4       1
      39       1       1       5       1
      40       1       1       1       0
      40       1       1       2       1
      40       1       1       3       1
      40       1       1       4       1
      40       1       1       5       1
      41       1       1       1       0
      41       1       1       2       1
      41       1       1       3       1
      41       1       1       4       1
      41       1       1       5       1
      42       1       1       1       1
      42       1       1       2       1
      42       1       1       3       1
      42       1       1       4       1
      42       1       1       5       1
      43       1       2       1       0
      43       1       2       2       1
      43       1       2       3       0
      43       1       2       4       0
      43       1       2       5       0
      44       1       2       1       0
      44       1       2       2       1
      44       1       2       3       0
      44       1       2       4       0
      44       1       2       5       0
      45       1       2       1       0
      45       1       2       2       1
      45       1       2       3       0
      45       1       2       4       0
      45       1       2       5       0
      46       1       2       1       0
      46       1       2       2       1
      46       1       2       3       0
      46       1       2       4       0
      46       1       2       5       0
      47       1       2       1       0
      47       1       2       2       1
      47       1       2       3       0
      47       1       2       4       0
      47       1       2       5       0
      48       1       2       1       0
      48       1       2       2       0
      48       1       2       3       1
      48       1       2       4       0
      48       1       2       5       0
      49       1       2       1       0
      49       1       2       2       0
      49       1       2       3       1
      49       1       2       4       0
      49       1       2       5       0
      50       1       2       1       0
      50       1       2       2       0
      50       1       2       3       1
      50       1       2       4       0
      50       1       2       5       0
      51       1       2       1       0
      51       1       2       2       0
      51       1       2       3       0
      51       1       2       4       1
      51       1       2       5       0
      52       1       2       1       0
      52       1       2       2       0
      52       1       2       3       0
      52       1       2       4       1
      52       1       2       5       0
      53       1       2       1       0
      53       1       2       2       0
      53       1       2       3       0
      53       1       2       4       1
      53       1       2       5       0
      54       1       2       1       0
      54       1       2       2       0
      54       1       2       3       0
      54       1       2       4       1
      54       1       2       5       0
      55       1       2       1       0
      55       1       2       2       0
      55       1       2       3       0
      55       1       2       4       0
      55       1       2       5       1
      56       1       2       1       0
      56       1       2       2       0
      56       1       2       3       0
      56       1       2       4       0
      56       1       2       5       1
      57       1       2       1       0
      57       1       2       2       0
      57       1       2       3       0
      57       1       2       4       0
      57       1       2       5       1
      58       1       2       1       0
      58       1       2       2       0
      58       1       2       3       0
      58       1       2       4       0
      58       1       2       5       1
      59       1       2       1       0
      59       1       2       2       1
      59       1       2       3       0
      59       1       2       4       0
      59       1       2       5       1
      60       1       2       1       0
      60       1       2       2       1
      60       1       2       3       0
      60       1       2       4       0
      60       1       2       5       1
      61       1       2       1       0
      61       1       2       2       1
      61       1       2       3       0
      61       1       2       4       0
      61       1       2       5       1
      62       1       2       1       0
      62       1       2       2       1
      62       1       2       3       0
      62       1       2       4       0
      62       1       2       5       1
      63       1       2       1       0
      63       1       2       2       0
      63       1       2       3       1
      63       1       2       4       1
      63       1       2       5       1
      64       1       2       1       0
      64       1       2       2       1
      64       1       2       3       1
      64       1       2       4       1
      64       1       2       5       1
      65       1       2       1       0
      65       1       2       2       1
      65       1       2       3       1
      65       1       2       4       1
      65       1       2       5       1
      66       1       2       1       0
      66       1       2       2       1
      66       1       2       3       1
      66       1       2       4       1
      66       1       2       5       1
      67       1       2       1       0
      67       1       2       2       1
      67       1       2       3       1
      67       1       2       4       1
      67       1       2       5       1
      68       1       2       1       1
      68       1       2       2       1
      68       1       2       3       1
      68       1       2       4       1
      68       1       2       5       1
      69       1       2       1       1
      69       1       2       2       1
      69       1       2       3       1
      69       1       2       4       1
      69       1       2       5       1
      70       1       3       1       1
      70       1       3       2       0
      70       1       3       3       0
      70       1       3       4       0
      70       1       3       5       0
      71       1       3       1       1
      71       1       3       2       0
      71       1       3       3       0
      71       1       3       4       0
      71       1       3       5       0
      72       1       3       1       1
      72       1       3       2       0
      72       1       3       3       0
      72       1       3       4       0
      72       1       3       5       0
      73       1       3       1       0
      73       1       3       2       1
      73       1       3       3       0
      73       1       3       4       0
      73       1       3       5       0
      74       1       3       1       0
      74       1       3       2       1
      74       1       3       3       0
      74       1       3       4       0
      74       1       3       5       0
      75       1       3       1       0
      75       1       3       2       0
      75       1       3       3       1
      75       1       3       4       0
      75       1       3       5       0
      76       1       3       1       0
      76       1       3       2       0
      76       1       3       3       0
      76       1       3       4       1
      76       1       3       5       0
      77       1       3       1       0
      77       1       3       2       0
      77       1       3       3       0
      77       1       3       4       1
      77       1       3       5       0
      78       1       3       1       0
      78       1       3       2       0
      78       1       3       3       0
      78       1       3       4       1
      78       1       3       5       0
      79       1       3       1       0
      79       1       3       2       0
      79       1       3       3       0
      79       1       3       4       1
      79       1       3       5       0
      80       1       3       1       0
      80       1       3       2       0
      80       1       3       3       0
      80       1       3       4       0
      80       1       3       5       1
      81       1       3       1       0
      81       1       3       2       1
      81       1       3       3       0
      81       1       3       4       0
      81       1       3       5       1
      82       1       3       1       0
      82       1       3       2       0
      82       1       3       3       0
      82       1       3       4       1
      82       1       3       5       1
      83       1       3       1       0
      83       1       3       2       0
      83       1       3       3       1
      83       1       3       4       1
      83       1       3       5       1
      84       1       3       1       0
      84       1       3       2       0
      84       1       3       3       1
      84       1       3       4       1
      84       1       3       5       1
      85       1       3       1       1
      85       1       3       2       1
      85       1       3       3       1
      85       1       3       4       1
      85       1       3       5       0
      86       1       3       1       0
      86       1       3       2       1
      86       1       3       3       1
      86       1       3       4       1
      86       1       3       5       1
      87       1       3       1       0
      87       1       3       2       1
      87       1       3       3       1
      87       1       3       4       1
      87       1       3       5       1
      88       1       3       1       0
      88       1       3       2       1
      88       1       3       3       1
      88       1       3       4       1
      88       1       3       5       1
      89       1       3       1       1
      89       1       3       2       1
      89       1       3       3       1
      89       1       3       4       1
      89       1       3       5       1
      90       1       3       1       1
      90       1       3       2       1
      90       1       3       3       1
      90       1       3       4       1
      90       1       3       5       1
      91       1       3       1       1
      91       1       3       2       1
      91       1       3       3       1
      91       1       3       4       1
      91       1       3       5       1
      92       1       4       1       1
      92       1       4       2       0
      92       1       4       3       0
      92       1       4       4       0
      92       1       4       5       0
      93       1       4       1       1
      93       1       4       2       0
      93       1       4       3       0
      93       1       4       4       0
      93       1       4       5       0
      94       1       4       1       1
      94       1       4       2       0
      94       1       4       3       0
      94       1       4       4       0
      94       1       4       5       0
      95       1       4       1       1
      95       1       4       2       0
      95       1       4       3       0
      95       1       4       4       0
      95       1       4       5       0
      96       1       4       1       1
      96       1       4       2       0
      96       1       4       3       0
      96       1       4       4       0
      96       1       4       5       0
      97       1       4       1       1
      97       1       4       2       0
      97       1       4       3       0
      97       1       4       4       0
      97       1       4       5       0
      98       1       4       1       0
      98       1       4       2       1
      98       1       4       3       0
      98       1       4       4       0
      98       1       4       5       0
      99       1       4       1       0
      99       1       4       2       0
      99       1       4       3       0
      99       1       4       4       1
      99       1       4       5       0
     100       1       4       1       0
     100       1       4       2       0
     100       1       4       3       0
     100       1       4       4       1
     100       1       4       5       0
     101       1       4       1       0
     101       1       4       2       0
     101       1       4       3       0
     101       1       4       4       1
     101       1       4       5       0
     102       1       4       1       0
     102       1       4       2       0
     102       1       4       3       0
     102       1       4       4       1
     102       1       4       5       0
     103       1       4       1       0
     103       1       4       2       0
     103       1       4       3       0
     103       1       4       4       1
     103       1       4       5       0
     104       1       4       1       0
     104       1       4       2       0
     104       1       4       3       0
     104       1       4       4       1
     104       1       4       5       0
     105       1       4       1       0
     105       1       4       2       0
     105       1       4       3       0
     105       1       4       4       0
     105       1       4       5       1
     106       1       4       1       0
     106       1       4       2       0
     106       1       4       3       0
     106       1       4       4       0
     106       1       4       5       1
     107       1       4       1       1
     107       1       4       2       1
     107       1       4       3       0
     107       1       4       4       0
     107       1       4       5       0
     108       1       4       1       1
     108       1       4       2       1
     108       1       4       3       0
     108       1       4       4       0
     108       1       4       5       0
     109       1       4       1       1
     109       1       4       2       0
     109       1       4       3       0
     109       1       4       4       1
     109       1       4       5       0
     110       1       4       1       0
     110       1       4       2       1
     110       1       4       3       1
     110       1       4       4       0
     110       1       4       5       0
     111       1       4       1       0
     111       1       4       2       1
     111       1       4       3       0
     111       1       4       4       1
     111       1       4       5       0
     112       1       4       1       0
     112       1       4       2       0
     112       1       4       3       1
     112       1       4       4       0
     112       1       4       5       1
     113       1       4       1       1
     113       1       4       2       0
     113       1       4       3       1
     113       1       4       4       1
     113       1       4       5       0
     114       1       4       1       0
     114       1       4       2       1
     114       1       4       3       0
     114       1       4       4       1
     114       1       4       5       1
     115       1       4       1       1
     115       1       4       2       1
     115       1       4       3       1
     115       1       4       4       1
     115       1       4       5       0
     116       1       4       1       0
     116       1       4       2       1
     116       1       4       3       1
     116       1       4       4       1
     116       1       4       5       1
     117       1       4       1       1
     117       1       4       2       1
     117       1       4       3       1
     117       1       4       4       1
     117       1       4       5       1
     118       1       4       1       1
     118       1       4       2       1
     118       1       4       3       1
     118       1       4       4       1
     118       1       4       5       1
     119       2       1       1       0
     119       2       1       2       1
     119       2       1       3       0
     119       2       1       4       0
     119       2       1       5       0
     120       2       1       1       0
     120       2       1       2       1
     120       2       1       3       0
     120       2       1       4       0
     120       2       1       5       0
     121       2       1       1       0
     121       2       1       2       0
     121       2       1       3       1
     121       2       1       4       0
     121       2       1       5       0
     122       2       1       1       0
     122       2       1       2       0
     122       2       1       3       1
     122       2       1       4       0
     122       2       1       5       0
     123       2       1       1       0
     123       2       1       2       0
     123       2       1       3       1
     123       2       1       4       0
     123       2       1       5       0
     124       2       1       1       0
     124       2       1       2       0
     124       2       1       3       1
     124       2       1       4       0
     124       2       1       5       0
     125       2       1       1       0
     125       2       1       2       0
     125       2       1       3       1
     125       2       1       4       0
     125       2       1       5       0
     126       2       1       1       0
     126       2       1       2       0
     126       2       1       3       1
     126       2       1       4       0
     126       2       1       5       0
     127       2       1       1       0
     127       2       1       2       0
     127       2       1       3       0
     127       2       1       4       1
     127       2       1       5       0
     128       2       1       1       0
     128       2       1       2       0
     128       2       1       3       0
     128       2       1       4       1
     128       2       1       5       0
     129       2       1       1       0
     129       2       1       2       0
     129       2       1       3       0
     129       2       1       4       1
     129       2       1       5       0
     130       2       1       1       0
     130       2       1       2       0
     130       2       1       3       0
     130       2       1       4       1
     130       2       1       5       0
     131       2       1       1       0
     131       2       1       2       0
     131       2       1       3       0
     131       2       1       4       1
     131       2       1       5       0
     132       2       1       1       0
     132       2       1       2       0
     132       2       1       3       0
     132       2       1       4       1
     132       2       1       5       0
     133       2       1       1       0
     133       2       1       2       0
     133       2       1       3       0
     133       2       1       4       1
     133       2       1       5       0
     134       2       1       1       0
     134       2       1       2       0
     134       2       1       3       0
     134       2       1       4       1
     134       2       1       5       0
     135       2       1       1       0
     135       2       1       2       0
     135       2       1       3       0
     135       2       1       4       1
     135       2       1       5       0
     136       2       1       1       0
     136       2       1       2       0
     136       2       1       3       0
     136       2       1       4       1
     136       2       1       5       0
     137       2       1       1       0
     137       2       1       2       0
     137       2       1       3       0
     137       2       1       4       1
     137       2       1       5       0
     138       2       1       1       0
     138       2       1       2       0
     138       2       1       3       0
     138       2       1       4       1
     138       2       1       5       0
     139       2       1       1       0
     139       2       1       2       0
     139       2       1       3       0
     139       2       1       4       1
     139       2       1       5       0
     140       2       1       1       0
     140       2       1       2       0
     140       2       1       3       0
     140       2       1       4       1
     140       2       1       5       0
     141       2       1       1       0
     141       2       1       2       0
     141       2       1       3       0
     141       2       1       4       0
     141       2       1       5       1
     142       2       1       1       0
     142       2       1       2       0
     142       2       1       3       0
     142       2       1       4       0
     142       2       1       5       1
     143       2       1       1       0
     143       2       1       2       0
     143       2       1       3       0
     143       2       1       4       0
     143       2       1       5       1
     144       2       1       1       0
     144       2       1       2       0
     144       2       1       3       0
     144       2       1       4       0
     144       2       1       5       1
     145       2       1       1       0
     145       2       1       2       0
     145       2       1       3       0
     145       2       1       4       0
     145       2       1       5       1
     146       2       1       1       0
     146       2       1       2       0
     146       2       1       3       0
     146       2       1       4       0
     146       2       1       5       1
     147       2       1       1       0
     147       2       1       2       0
     147       2       1       3       0
     147       2       1       4       0
     147       2       1       5       1
     148       2       1       1       0
     148       2       1       2       0
     148       2       1       3       0
     148       2       1       4       0
     148       2       1       5       1
     149       2       1       1       0
     149       2       1       2       0
     149       2       1       3       0
     149       2       1       4       0
     149       2       1       5       1
     150       2       1       1       0
     150       2       1       2       0
     150       2       1       3       0
     150       2       1       4       0
     150       2       1       5       1
     151       2       1       1       0
     151       2       1       2       0
     151       2       1       3       0
     151       2       1       4       0
     151       2       1       5       1
     152       2       1       1       0
     152       2       1       2       1
     152       2       1       3       0
     152       2       1       4       1
     152       2       1       5       0
     153       2       1       1       0
     153       2       1       2       1
     153       2       1       3       0
     153       2       1       4       0
     153       2       1       5       1
     154       2       1       1       0
     154       2       1       2       0
     154       2       1       3       1
     154       2       1       4       1
     154       2       1       5       0
     155       2       1       1       0
     155       2       1       2       0
     155       2       1       3       1
     155       2       1       4       1
     155       2       1       5       0
     156       2       1       1       0
     156       2       1       2       0
     156       2       1       3       1
     156       2       1       4       1
     156       2       1       5       0
     157       2       1       1       0
     157       2       1       2       0
     157       2       1       3       1
     157       2       1       4       1
     157       2       1       5       0
     158       2       1       1       0
     158       2       1       2       0
     158       2       1       3       0
     158       2       1       4       1
     158       2       1       5       1
     159       2       1       1       0
     159       2       1       2       0
     159       2       1       3       0
     159       2       1       4       1
     159       2       1       5       1
     160       2       1       1       0
     160       2       1       2       1
     160       2       1       3       1
     160       2       1       4       1
     160       2       1       5       0
     161       2       1       1       0
     161       2       1       2       1
     161       2       1       3       1
     161       2       1       4       1
     161       2       1       5       0
     162       2       1       1       0
     162       2       1       2       1
     162       2       1       3       1
     162       2       1       4       1
     162       2       1       5       0
     163       2       1       1       0
     163       2       1       2       1
     163       2       1       3       1
     163       2       1       4       1
     163       2       1       5       0
     164       2       1       1       0
     164       2       1       2       1
     164       2       1       3       0
     164       2       1       4       1
     164       2       1       5       1
     165       2       1       1       0
     165       2       1       2       1
     165       2       1       3       1
     165       2       1       4       1
     165       2       1       5       1
     166       2       1       1       0
     166       2       1       2       1
     166       2       1       3       1
     166       2       1       4       1
     166       2       1       5       1
     167       2       1       1       0
     167       2       1       2       1
     167       2       1       3       1
     167       2       1       4       1
     167       2       1       5       1
     168       2       1       1       0
     168       2       1       2       1
     168       2       1       3       1
     168       2       1       4       1
     168       2       1       5       1
     169       2       1       1       1
     169       2       1       2       1
     169       2       1       3       1
     169       2       1       4       1
     169       2       1       5       1
     170       2       1       1       1
     170       2       1       2       1
     170       2       1       3       1
     170       2       1       4       1
     170       2       1       5       1
     171       2       1       1       1
     171       2       1       2       1
     171       2       1       3       1
     171       2       1       4       1
     171       2       1       5       1
     172       2       2       1       1
     172       2       2       2       0
     172       2       2       3       0
     172       2       2       4       0
     172       2       2       5       0
     173       2       2       1       0
     173       2       2       2       1
     173       2       2       3       0
     173       2       2       4       0
     173       2       2       5       0
     174       2       2       1       0
     174       2       2       2       1
     174       2       2       3       0
     174       2       2       4       0
     174       2       2       5       0
     175       2       2       1       0
     175       2       2       2       1
     175       2       2       3       0
     175       2       2       4       0
     175       2       2       5       0
     176       2       2       1       0
     176       2       2       2       1
     176       2       2       3       0
     176       2       2       4       0
     176       2       2       5       0
     177       2       2       1       0
     177       2       2       2       0
     177       2       2       3       1
     177       2       2       4       0
     177       2       2       5       0
     178       2       2       1       0
     178       2       2       2       0
     178       2       2       3       1
     178       2       2       4       0
     178       2       2       5       0
     179       2       2       1       0
     179       2       2       2       0
     179       2       2       3       1
     179       2       2       4       0
     179       2       2       5       0
     180       2       2       1       0
     180       2       2       2       0
     180       2       2       3       1
     180       2       2       4       0
     180       2       2       5       0
     181       2       2       1       0
     181       2       2       2       0
     181       2       2       3       1
     181       2       2       4       0
     181       2       2       5       0
     182       2       2       1       0
     182       2       2       2       0
     182       2       2       3       1
     182       2       2       4       0
     182       2       2       5       0
     183       2       2       1       0
     183       2       2       2       0
     183       2       2       3       1
     183       2       2       4       0
     183       2       2       5       0
     184       2       2       1       0
     184       2       2       2       0
     184       2       2       3       0
     184       2       2       4       1
     184       2       2       5       0
     185       2       2       1       0
     185       2       2       2       0
     185       2       2       3       0
     185       2       2       4       1
     185       2       2       5       0
     186       2       2       1       0
     186       2       2       2       0
     186       2       2       3       0
     186       2       2       4       1
     186       2       2       5       0
     187       2       2       1       0
     187       2       2       2       0
     187       2       2       3       0
     187       2       2       4       1
     187       2       2       5       0
     188       2       2       1       0
     188       2       2       2       0
     188       2       2       3       0
     188       2       2       4       1
     188       2       2       5       0
     189       2       2       1       0
     189       2       2       2       0
     189       2       2       3       0
     189       2       2       4       1
     189       2       2       5       0
     190       2       2       1       0
     190       2       2       2       0
     190       2       2       3       0
     190       2       2       4       1
     190       2       2       5       0
     191       2       2       1       0
     191       2       2       2       0
     191       2       2       3       0
     191       2       2       4       1
     191       2       2       5       0
     192       2       2       1       0
     192       2       2       2       0
     192       2       2       3       0
     192       2       2       4       1
     192       2       2       5       0
     193       2       2       1       0
     193       2       2       2       0
     193       2       2       3       0
     193       2       2       4       1
     193       2       2       5       0
     194       2       2       1       0
     194       2       2       2       0
     194       2       2       3       0
     194       2       2       4       1
     194       2       2       5       0
     195       2       2       1       0
     195       2       2       2       0
     195       2       2       3       0
     195       2       2       4       1
     195       2       2       5       0
     196       2       2       1       0
     196       2       2       2       0
     196       2       2       3       0
     196       2       2       4       1
     196       2       2       5       0
     197       2       2       1       0
     197       2       2       2       0
     197       2       2       3       0
     197       2       2       4       1
     197       2       2       5       0
     198       2       2       1       0
     198       2       2       2       0
     198       2       2       3       0
     198       2       2       4       0
     198       2       2       5       1
     199       2       2       1       0
     199       2       2       2       0
     199       2       2       3       0
     199       2       2       4       0
     199       2       2       5       1
     200       2       2       1       0
     200       2       2       2       0
     200       2       2       3       0
     200       2       2       4       0
     200       2       2       5       1
     201       2       2       1       0
     201       2       2       2       0
     201       2       2       3       0
     201       2       2       4       0
     201       2       2       5       1
     202       2       2       1       0
     202       2       2       2       0
     202       2       2       3       0
     202       2       2       4       0
     202       2       2       5       1
     203       2       2       1       0
     203       2       2       2       0
     203       2       2       3       0
     203       2       2       4       0
     203       2       2       5       1
     204       2       2       1       0
     204       2       2       2       1
     204       2       2       3       1
     204       2       2       4       0
     204       2       2       5       0
     205       2       2       1       0
     205       2       2       2       1
     205       2       2       3       0
     205       2       2       4       0
     205       2       2       5       1
     206       2       2       1       0
     206       2       2       2       0
     206       2       2       3       1
     206       2       2       4       1
     206       2       2       5       0
     207       2       2       1       0
     207       2       2       2       0
     207       2       2       3       1
     207       2       2       4       1
     207       2       2       5       0
     208       2       2       1       0
     208       2       2       2       0
     208       2       2       3       0
     208       2       2       4       1
     208       2       2       5       1
     209       2       2       1       1
     209       2       2       2       0
     209       2       2       3       1
     209       2       2       4       1
     209       2       2       5       0
     210       2       2       1       0
     210       2       2       2       1
     210       2       2       3       1
     210       2       2       4       1
     210       2       2       5       0
     211       2       2       1       0
     211       2       2       2       1
     211       2       2       3       1
     211       2       2       4       1
     211       2       2       5       0
     212       2       2       1       0
     212       2       2       2       1
     212       2       2       3       1
     212       2       2       4       1
     212       2       2       5       1
     213       2       2       1       0
     213       2       2       2       1
     213       2       2       3       1
     213       2       2       4       1
     213       2       2       5       1
     214       2       3       1       0
     214       2       3       2       1
     214       2       3       3       0
     214       2       3       4       0
     214       2       3       5       0
     215       2       3       1       0
     215       2       3       2       1
     215       2       3       3       0
     215       2       3       4       0
     215       2       3       5       0
     216       2       3       1       0
     216       2       3       2       1
     216       2       3       3       0
     216       2       3       4       0
     216       2       3       5       0
     217       2       3       1       0
     217       2       3       2       1
     217       2       3       3       0
     217       2       3       4       0
     217       2       3       5       0
     218       2       3       1       0
     218       2       3       2       1
     218       2       3       3       0
     218       2       3       4       0
     218       2       3       5       0
     219       2       3       1       0
     219       2       3       2       0
     219       2       3       3       1
     219       2       3       4       0
     219       2       3       5       0
     220       2       3       1       0
     220       2       3       2       0
     220       2       3       3       1
     220       2       3       4       0
     220       2       3       5       0
     221       2       3       1       0
     221       2       3       2       0
     221       2       3       3       1
     221       2       3       4       0
     221       2       3       5       0
     222       2       3       1       0
     222       2       3       2       0
     222       2       3       3       1
     222       2       3       4       0
     222       2       3       5       0
     223       2       3       1       0
     223       2       3       2       0
     223       2       3       3       0
     223       2       3       4       1
     223       2       3       5       0
     224       2       3       1       0
     224       2       3       2       0
     224       2       3       3       0
     224       2       3       4       1
     224       2       3       5       0
     225       2       3       1       0
     225       2       3       2       0
     225       2       3       3       0
     225       2       3       4       1
     225       2       3       5       0
     226       2       3       1       0
     226       2       3       2       0
     226       2       3       3       0
     226       2       3       4       1
     226       2       3       5       0
     227       2       3       1       0
     227       2       3       2       0
     227       2       3       3       0
     227       2       3       4       0
     227       2       3       5       1
     228       2       3       1       0
     228       2       3       2       0
     228       2       3       3       0
     228       2       3       4       0
     228       2       3       5       1
     229       2       3       1       0
     229       2       3       2       0
     229       2       3       3       0
     229       2       3       4       0
     229       2       3       5       1
     230       2       3       1       0
     230       2       3       2       0
     230       2       3       3       1
     230       2       3       4       0
     230       2       3       5       1
     231       2       3       1       0
     231       2       3       2       0
     231       2       3       3       0
     231       2       3       4       1
     231       2       3       5       1
     232       2       3       1       1
     232       2       3       2       1
     232       2       3       3       1
     232       2       3       4       1
     232       2       3       5       0
     233       2       3       1       0
     233       2       3       2       1
     233       2       3       3       1
     233       2       3       4       1
     233       2       3       5       1
     234       2       4       1       1
     234       2       4       2       0
     234       2       4       3       0
     234       2       4       4       0
     234       2       4       5       0
     235       2       4       1       1
     235       2       4       2       0
     235       2       4       3       0
     235       2       4       4       0
     235       2       4       5       0
     236       2       4       1       1
     236       2       4       2       0
     236       2       4       3       0
     236       2       4       4       0
     236       2       4       5       0
     237       2       4       1       1
     237       2       4       2       0
     237       2       4       3       0
     237       2       4       4       0
     237       2       4       5       0
     238       2       4       1       1
     238       2       4       2       0
     238       2       4       3       0
     238       2       4       4       0
     238       2       4       5       0
     239       2       4       1       1
     239       2       4       2       0
     239       2       4       3       0
     239       2       4       4       0
     239       2       4       5       0
     240       2       4       1       1
     240       2       4       2       0
     240       2       4       3       0
     240       2       4       4       0
     240       2       4       5       0
     241       2       4       1       1
     241       2       4       2       0
     241       2       4       3       0
     241       2       4       4       0
     241       2       4       5       0
     242       2       4       1       1
     242       2       4       2       0
     242       2       4       3       0
     242       2       4       4       0
     242       2       4       5       0
     243       2       4       1       1
     243       2       4       2       0
     243       2       4       3       0
     243       2       4       4       0
     243       2       4       5       0
     244       2       4       1       0
     244       2       4       2       1
     244       2       4       3       0
     244       2       4       4       0
     244       2       4       5       0
     245       2       4       1       0
     245       2       4       2       1
     245       2       4       3       0
     245       2       4       4       0
     245       2       4       5       0
     246       2       4       1       0
     246       2       4       2       1
     246       2       4       3       0
     246       2       4       4       0
     246       2       4       5       0
     247       2       4       1       0
     247       2       4       2       1
     247       2       4       3       0
     247       2       4       4       0
     247       2       4       5       0
     248       2       4       1       0
     248       2       4       2       0
     248       2       4       3       1
     248       2       4       4       0
     248       2       4       5       0
     249       2       4       1       0
     249       2       4       2       0
     249       2       4       3       1
     249       2       4       4       0
     249       2       4       5       0
     250       2       4       1       0
     250       2       4       2       0
     250       2       4       3       0
     250       2       4       4       1
     250       2       4       5       0
     251       2       4       1       0
     251       2       4       2       0
     251       2       4       3       0
     251       2       4       4       1
     251       2       4       5       0
     252       2       4       1       0
     252       2       4       2       0
     252       2       4       3       0
     252       2       4       4       1
     252       2       4       5       0
     253       2       4       1       0
     253       2       4       2       0
     253       2       4       3       0
     253       2       4       4       1
     253       2       4       5       0
     254       2       4       1       0
     254       2       4       2       0
     254       2       4       3       0
     254       2       4       4       0
     254       2       4       5       1
