  crab  sat   y    weight  width  color  spine
  118    0    0    1.400    22.0     3     3
  119    5    1    2.400    25.0     2     3
  120    6    1    2.500    27.0     3     3
  121    6    1    1.800    23.8     3     3
  122    2    1    3.275    30.2     1     1
  123    0    0    2.225    26.2     3     3
  124    2    1    1.650    24.2     2     3
  125    3    1    2.900    27.4     2     3
  126    0    0    2.300    25.4     2     2
  127    3    1    3.200    28.4     3     3
  128    4    1    1.475    22.5     4     3
  129    2    1    2.025    26.2     2     3
  130    6    1    2.300    24.9     2     1
  131    6    1    1.950    24.5     1     2
  132    0    0    1.800    25.1     2     3
  133    4    1    2.900    28.0     2     1
  134   10    1    2.250    25.8     4     3
  135    7    1    3.050    27.9     2     3
  136    0    0    2.200    24.9     2     3
  137    5    1    3.100    28.4     2     1
  138    5    1    2.400    27.2     3     3
  139    6    1    2.250    25.0     2     2
  140    6    1    2.625    27.5     2     3
  141    7    1    5.200    33.5     2     1
  142    3    1    3.325    30.5     2     3
  143    3    1    2.925    29.0     3     3
  144    0    0    2.000    24.3     2     1
  145    0    0    2.400    25.8     2     3
  146    8    1    2.100    25.0     4     3
  147    4    1    3.725    31.7     2     1
  148    4    1    3.025    29.5     2     3
  149   10    1    1.900    24.0     3     3
  150    9    1    3.000    30.0     2     3
  151    4    1    2.850    27.6     2     3
  152    0    0    2.300    26.2     2     3
  153    0    0    2.000    23.1     2     1
  154    0    0    1.600    22.9     2     1
  155    0    0    1.900    24.5     4     3
  156    4    1    1.950    24.7     2     3
  157    0    0    3.200    28.3     2     3
  158    2    1    1.850    23.9     2     3
  159    0    0    1.800    23.8     3     3
  160    4    1    3.500    29.8     3     2
  161    4    1    2.350    26.5     2     3
  162    3    1    2.275    26.0     2     3
  163    8    1    3.050    28.2     2     3
  164    0    0    2.150    25.7     4     3
  165    7    1    2.750    26.5     2     3
  166    0    0    2.200    25.8     2     3
  167    0    0    1.800    24.1     3     3
  168    2    1    2.175    26.2     3     3
  169    3    1    2.750    26.1     3     3
  170    4    1    3.275    29.0     3     3
  171    0    0    2.625    28.0     1     1
  172    0    0    2.625    27.0     4     3
  173    0    0    2.000    24.5     2     2
