  y  Year  Fcolor  Fsurf   FCW   AMCW  AMcolor  AMsurf 
  0  1995       5      5  21.4  13.80        5       3
  0  1995       5      5  23.4  16.00        5       3
  0  1995       5      5  20.9  16.10        5       3
  0  1995       5      5  20.9  18.00        5       3
  0  1995       5      5  21.4  16.50        5       4
  0  1995       5      5  22.4  16.90        5       4
  0  1995       5      3  20.2  15.80        5       2
  0  1995       3      4  21.2  16.70        5       3
  0  1995       5      3  21.6  14.90        5       3
  0  1995       5      3  20.0  15.90        5       3
  0  1995       5      4  22.0  16.20        5       3
  0  1995       5      4  21.4  16.30        5       3
  0  1995       3      4  21.2  13.80        5       4
  0  1995       3      4  21.9  16.00        5       4
  0  1995       5      3  21.1  13.80        5       4
  0  1995       5      4  22.4  15.70        5       4
  1  1995       1      1  23.7  15.50        5       2
  0  1995       1      1  25.5  15.50        3       4
  0  1995       1      1  22.0  16.50        5       2
  0  1995       1      3  22.1  13.80        3       4
  0  1995       3      1  21.8  17.30        3       4
  0  1995       3      2  19.6  15.80        5       2
  0  1995       1      4  21.7  16.90        5       2
  1  1995       3      3  25.3  15.00        3       4
  0  1995       3      3  17.6  16.20        3       4
  0  1995       3      3  20.6  17.60        3       4
  0  1995       1      1  23.1  16.80        5       3
  0  1995       1      2  23.4  14.90        5       3
  0  1995       1      2  23.0  14.90        5       3
  1  1995       1      2  24.0  15.90        5       3
  1  1995       1      2  21.3  16.30        5       3
  0  1995       1      2  24.0  15.80        5       3
  0  1995       3      1  21.8  15.60        5       3
  0  1995       1      3  21.1  14.20        5       3
  1  1995       3      1  20.2  17.20        5       3
  0  1995       1      4  21.7  15.00        5       3
  1  1995       3      2  19.6  14.20        5       3
  0  1995       3      2  17.9  15.50        5       3
  0  1995       3      2  22.9  16.50        5       3
  1  1995       3      2  21.6  16.90        3       5
  0  1995       1      4  21.7  17.10        5       3
  0  1995       3      3  20.1  16.60        5       3
  0  1995       3      3  22.6  15.10        5       3
  0  1995       3      3  23.7  14.80        5       3
  1  1995       3      3  20.6  14.50        5       3
  0  1995       3      3  20.5  14.80        5       3
  0  1995       3      3  23.5  16.00        5       3
  0  1995       3      3  23.7  15.30        5       3
  0  1995       3      3  22.9  15.30        5       3
  0  1995       3      3  20.5  15.30        5       3
  1  1995       3      3  17.6  15.00        3       5
  1  1995       3      3  20.3  16.30        5       3
  0  1995       3      3  21.4  16.20        5       3
  0  1995       3      3  23.8  15.60        5       3
  1  1995       3      3  20.0  14.90        5       3
  0  1995       3      3  20.5  16.10        5       3
  0  1995       3      3  20.6  15.00        5       3
  1  1995       3      3  20.6  14.60        5       3
  0  1995       3      3  22.3  14.60        3       5
  0  1995       3      3  23.7  16.20        5       3
  0  1995       3      3  20.6  16.90        5       3
  0  1995       3      3  18.8  17.60        5       3
  1  1995       1      2  24.0  15.70        5       4
  1  1995       1      3  21.1  16.30        5       4
  1  1995       3      2  21.6  17.10        5       4
  1  1995       3      3  20.6  14.90        5       4
  0  1995       3      3  25.0  15.10        5       4
  0  1995       3      3  20.5  15.50        5       4
  1  1995       3      3  20.7  15.00        5       4
  0  1995       3      3  20.2  15.90        5       4
  0  1995       3      3  20.5  17.00        5       4
  0  1995       3      3  23.9  16.41        5       4
  0  1995       5      5  23.4  19.20        3       3
  1  1995       3      4  22.0  15.80        3       3
  0  1995       5      3  21.3  16.60        3       3
  0  1995       1      2  22.9  15.70        1       3
  1  1995       3      3  25.3  13.80        3       2
  1  1995       3      3  19.4  16.50        1       4
  1  1995       1      1  23.7  15.40        3       3
  0  1995       1      1  23.7  15.80        3       3
  0  1995       1      1  22.9  17.80        3       3
  0  1995       3      1  21.8  16.50        3       3
  0  1995       3      3  22.5  15.80        3       3
  0  1996       5      5  22.9  14.90        5       5
  0  1996       5      5  19.5  14.50        5       5
  0  1996       5      5  22.0  14.00        5       5
  0  1996       5      5  22.0  16.40        5       5
  0  1996       5      5  20.0  16.50        5       5
  0  1996       5      5  21.0  17.00        5       5
  0  1996       3      4  21.5  14.60        5       5
  1  1996       3      4  24.1  16.00        5       5
  0  1996       5      3  21.2  13.80        5       5
  0  1996       5      3  21.0  16.00        5       5
  0  1996       5      3  26.3  16.20        5       5
  1  1996       5      3  22.1  16.40        5       5
  0  1996       5      3  24.4  16.80        5       5
  0  1996       5      3  24.5  16.50        5       5
  0  1996       5      3  20.8  17.60        5       5
  0  1996       5      4  21.8  15.00        5       5
  0  1996       5      4  22.6  16.50        5       5
  0  1996       5      4  20.0  16.10        5       5
  0  1996       5      4  22.5  15.40        5       5
  0  1996       5      4  20.7  15.30        5       5
  0  1996       5      4  20.5  15.70        5       5
  0  1996       5      4  19.4  15.60        5       5
  0  1996       5      4  23.7  16.80        5       5
  1  1996       5      4  19.5  16.50        5       5
  0  1996       5      4  23.2  17.70        5       5
  0  1996       5      4  24.4  16.80        5       5
  0  1996       5      4  19.7  15.70        5       5
  0  1996       1      1  22.5  14.80        5       5
  0  1996       1      2  21.5  14.50        5       5
  0  1996       1      2  21.5  16.20        5       5
  0  1996       1      2  23.5  17.40        5       5
  0  1996       1      3  22.5  14.30        5       5
  0  1996       1      3  22.0  16.70        5       5
  0  1996       1      3  20.0  16.80        5       5
  0  1996       3      3  21.8  14.10        5       5
  0  1996       1      5  23.4  18.60        5       5
  0  1996       5      5  21.9  18.00        3       4
  1  1996       5      5  20.8  15.40        5       2
  1  1996       5      5  22.2  15.30        3       4
  0  1996       5      5  21.3  14.80        3       4
  0  1996       5      5  20.0  16.10        3       4
  0  1996       5      5  21.5  16.70        3       4
  0  1996       5      5  23.7  16.60        3       4
  0  1996       5      5  23.5  16.60        3       4
  0  1996       5      5  23.8  16.40        3       4
  0  1996       5      5  24.0  16.50        5       2
  0  1996       5      5  20.7  17.20        3       4
  0  1996       5      5  21.0  16.40        3       4
  0  1996       5      5  22.8  18.30        3       4
  0  1996       5      5  24.0  18.00        3       4
  0  1996       5      5  23.2  16.20        3       4
  0  1996       5      5  22.2  15.50        3       5
  0  1996       5      5  22.8  15.50        5       3
  0  1996       5      5  25.0  16.90        3       5
  0  1996       5      5  21.8  15.20        5       4
  0  1996       5      5  20.1  16.30        5       4
  0  1996       5      5  21.8  16.40        5       4
  0  1996       5      5  23.2  15.90        5       4
  0  1996       5      5  23.2  16.90        5       4
  0  1996       5      5  23.5  15.80        5       4
  0  1996       5      5  22.0  16.40        5       4
  0  1996       5      5  25.5  18.20        5       4
  1  1996       3      4  20.4  13.80        3       4
  0  1996       5      2  24.4  15.40        3       4
  0  1996       3      4  22.9  16.10        3       4
  0  1996       3      4  22.2  16.30        3       4
  0  1996       3      4  20.4  16.20        3       4
  0  1996       5      3  20.6  14.80        3       4
  0  1996       5      3  21.2  15.10        3       4
  0  1996       5      3  17.4  15.00        3       4
  0  1996       5      3  23.5  13.50        3       4
  0  1996       5      3  19.8  15.40        3       4
  0  1996       5      3  20.0  14.30        3       4
  1  1996       3      5  23.8  15.30        3       4
  0  1996       5      3  21.9  15.70        3       4
  1  1996       5      3  22.0  15.40        3       4
  0  1996       3      5  23.7  16.20        3       4
  0  1996       5      3  23.5  15.40        3       4
  1  1996       5      3  20.5  15.00        3       4
  1  1996       5      3  22.3  16.70        3       4
  0  1996       5      3  23.2  15.90        3       4
  0  1996       5      3  22.8  16.20        3       4
  0  1996       5      3  23.0  14.60        3       4
  0  1996       5      3  21.1  16.00        3       4
  0  1996       5      3  22.3  16.60        3       4
  0  1996       5      3  25.4  16.00        3       4
  0  1996       5      3  25.0  16.90        3       4
  0  1996       5      3  24.2  16.90        3       4
  0  1996       5      3  23.5  18.20        3       4
  0  1996       5      3  24.4  16.80        3       4
  0  1996       5      3  25.3  20.20        3       4
  0  1996       5      4  21.5  13.60        3       4
  1  1996       5      4  21.5  14.40        3       4
  0  1996       5      4  21.0  14.20        3       4
  1  1996       5      4  23.3  14.60        3       4
  0  1996       5      4  19.0  15.70        3       4
  0  1996       5      4  21.0  16.00        3       4
  0  1996       5      4  20.6  14.80        3       4
  0  1996       5      4  23.2  14.90        3       4
  0  1996       5      4  24.5  16.30        3       4
  0  1996       5      4  20.5  15.50        3       4
  0  1996       5      4  22.8  15.80        3       4
  1  1996       5      4  24.6  15.70        3       4
  0  1996       5      4  23.2  15.50        3       4
  0  1996       5      4  22.2  15.20        3       4
  0  1996       5      4  24.2  16.30        3       4
  0  1996       5      4  23.2  15.90        3       4
  1  1996       5      4  20.7  16.70        3       4
  0  1996       5      4  21.1  15.50        3       4
  0  1996       5      4  22.3  16.40        3       4
  0  1996       5      4  20.7  16.60        3       4
  0  1996       5      4  23.2  15.80        3       4
  0  1996       5      4  22.0  15.80        3       4
  0  1996       5      4  25.0  16.00        3       4
  0  1996       5      4  22.5  16.40        3       4
  0  1996       5      4  23.0  16.30        3       4
  1  1996       5      4  21.3  16.10        3       4
  1  1996       5      4  23.4  16.00        3       4
  0  1996       5      4  21.9  16.70        3       4
  0  1996       5      4  22.0  16.40        3       4
  0  1996       5      4  24.0  17.10        3       4
  0  1996       5      4  21.6  16.90        3       4
  0  1996       5      4  23.0  17.40        3       4
  1  1996       5      4  22.4  16.80        3       4
  1  1996       5      4  21.8  18.00        3       4
  0  1996       5      2  20.6  17.30        3       5
  1  1996       5      3  21.5  15.00        5       3
  1  1996       5      3  21.2  14.50        3       5
  1  1996       5      3  19.8  13.80        3       5
  0  1996       5      3  22.0  15.50        3       5
  0  1996       5      3  23.5  16.40        5       3
  0  1996       5      3  22.8  16.00        3       5
  0  1996       5      3  20.0  17.10        3       5
  0  1996       5      3  19.5  17.50        3       5
  0  1996       5      3  26.7  16.50        5       3
  0  1996       3      5  22.4  18.40        5       3
  1  1996       5      4  22.0  17.50        3       5
  0  1996       5      4  20.9  14.40        3       5
  0  1996       5      4  21.0  15.60        5       3
  0  1996       5      4  21.9  15.20        3       5
  0  1996       5      4  22.8  14.30        3       5
  0  1996       5      4  23.5  16.50        5       3
  1  1996       5      4  22.9  15.50        5       3
  0  1996       5      4  22.2  16.60        3       5
  0  1996       5      4  22.3  15.70        3       5
  0  1996       5      4  19.2  15.80        3       5
  0  1996       5      4  22.6  16.50        3       5
  0  1996       5      4  24.7  18.00        3       5
  0  1996       5      4  20.8  18.30        5       3
  0  1996       5      4  22.3  18.50        3       5
  0  1996       5      4  22.7  17.90        3       5
  1  1996       3      4  22.5  15.00        5       4
  0  1996       5      2  20.2  15.40        5       4
  0  1996       3      4  22.1  16.50        5       4
  0  1996       5      3  23.5  15.00        5       4
  0  1996       5      3  22.0  15.40        5       4
  1  1996       5      3  22.0  15.40        5       4
  1  1996       5      3  22.5  16.50        5       4
  0  1996       5      3  21.0  16.20        5       4
  0  1996       5      3  24.7  17.10        5       4
  0  1996       5      3  22.0  15.30        5       4
  0  1996       5      3  21.7  17.10        5       4
  0  1996       5      3  22.3  17.60        5       4
  0  1996       5      3  24.3  17.10        5       4
  1  1996       5      3  24.7  17.00        5       4
  0  1996       5      4  21.7  13.30        5       4
  0  1996       5      4  22.7  15.10        5       4
  0  1996       5      4  22.5  15.00        5       4
  0  1996       5      4  20.7  16.10        5       4
  0  1996       5      4  21.4  15.20        5       4
  0  1996       5      4  20.5  15.50        5       4
  0  1996       5      4  19.9  16.70        5       4
  0  1996       5      4  21.2  17.20        5       4
  0  1996       5      4  24.8  16.70        5       4
  0  1996       5      4  23.7  16.70        5       4
  0  1996       5      4  23.8  16.70        5       4
  0  1996       5      4  23.5  15.00        5       4
  0  1996       5      4  20.8  15.40        5       4
  0  1996       5      4  21.4  16.50        5       4
  0  1996       5      4  22.4  15.50        5       4
  0  1996       5      4  24.0  15.20        5       4
  0  1996       5      4  20.2  16.80        5       4
  0  1996       5      4  22.3  15.80        5       4
  0  1996       5      4  23.3  16.10        5       4
  0  1996       5      4  21.4  16.90        5       4
  0  1996       5      4  22.3  16.30        5       4
  0  1996       5      4  24.4  18.30        5       4
  0  1996       5      4  22.6  17.70        5       4
  0  1996       5      4  21.8  16.80        5       4
  0  1996       1      1  24.3  15.00        3       4
  0  1996       1      1  19.6  13.70        3       4
  0  1996       1      1  19.4  14.60        3       4
  0  1996       1      1  23.7  16.60        3       4
  0  1996       1      1  21.7  15.90        3       4
  0  1996       1      1  21.5  17.40        3       4
  0  1996       1      1  24.5  17.40        3       4
  0  1996       1      2  19.4  12.90        3       4
  0  1996       1      2  17.0  14.40        3       4
  0  1996       1      2  23.7  14.80        3       4
  1  1996       1      2  20.3  15.50        3       4
  1  1996       1      2  20.7  15.70        3       4
  0  1996       1      2  20.3  14.80        3       4
  0  1996       1      2  21.4  18.00        3       4
  0  1996       1      2  22.8  16.00        3       4
  0  1996       1      2  21.7  15.60        3       4
  1  1996       1      2  23.8  16.00        3       4
  0  1996       1      2  19.3  16.00        3       4
  1  1996       1      2  24.0  16.80        3       4
  0  1996       1      2  22.9  17.40        3       4
  0  1996       1      3  22.9  14.30        3       4
  0  1996       1      3  21.9  14.90        3       4
  0  1996       1      3  24.0  16.20        3       4
  0  1996       1      3  23.1  18.20        3       4
  1  1996       1      3  23.6  17.70        3       4
  0  1996       3      2  21.6  16.00        3       4
  1  1996       1      4  24.0  17.40        3       4
  0  1996       1      4  24.1  19.00        3       4
  1  1996       3      3  21.7  16.00        3       4
  0  1996       3      3  24.5  13.70        3       4
  0  1996       3      3  23.5  15.40        3       4
  1  1996       3      3  22.8  15.70        3       4
  0  1996       3      3  20.5  15.00        3       4
  0  1996       3      3  22.3  14.90        3       4
  0  1996       3      3  21.2  15.50        3       4
  1  1996       3      3  23.5  16.20        3       4
  0  1996       3      3  22.5  16.90        3       4
  0  1996       3      3  22.3  16.50        3       4
  1  1996       3      3  19.8  16.30        3       4
  1  1996       3      3  23.3  17.80        3       4
  0  1996       3      3  23.6  17.10        3       4
  1  1996       3      3  23.6  16.90        3       4
  0  1996       3      3  23.8  18.50        3       4
  1  1996       3      3  22.0  18.30        3       4
  0  1996       1      1  20.1  14.50        5       3
  0  1996       1      1  22.7  16.50        3       5
  1  1996       1      1  19.5  15.20        3       5
  0  1996       1      2  21.0  14.00        3       5
  1  1996       1      2  20.4  15.90        3       5
  0  1996       1      2  21.2  16.40        3       5
  0  1996       1      3  20.5  16.80        3       5
  0  1996       1      3  24.9  16.60        3       5
  0  1996       1      3  21.1  16.60        3       5
  0  1996       1      3  24.2  15.50        3       5
  1  1996       1      3  24.0  15.40        3       5
  0  1996       1      4  20.0  15.90        5       3
  0  1996       3      3  21.4  15.50        5       3
  0  1996       3      3  19.5  16.00        3       5
  0  1996       1      5  23.4  16.00        5       3
  0  1996       1      5  21.2  17.10        3       5
  0  1996       3      3  24.4  17.10        3       5
  0  1996       3      3  21.5  17.80        3       5
  0  1996       3      3  23.9  17.30        3       5
  0  1996       1      5  23.6  18.50        3       5
  0  1996       1      1  23.0  16.00        5       4
  0  1996       1      1  21.0  18.00        5       4
  0  1996       1      2  21.7  15.00        5       4
  1  1996       1      2  20.9  15.60        5       4
  0  1996       1      2  21.9  16.00        5       4
  0  1996       1      2  21.5  17.00        5       4
  1  1996       1      2  24.9  16.40        5       4
  0  1996       1      2  23.4  15.80        5       4
  0  1996       1      2  25.4  16.40        5       4
  0  1996       1      2  21.7  17.50        5       4
  0  1996       1      2  21.8  17.90        5       4
  0  1996       1      3  22.8  17.00        5       4
  0  1996       1      3  21.2  16.40        5       4
  1  1996       1      3  23.0  16.80        5       4
  0  1996       1      4  20.0  14.50        5       4
  0  1996       3      2  27.2  14.90        5       4
  1  1996       3      2  24.0  16.00        5       4
  0  1996       3      2  24.0  18.20        5       4
  0  1996       3      3  22.5  15.20        5       4
  1  1996       3      3  23.7  16.40        5       4
  0  1996       3      3  24.1  16.20        5       4
  0  1996       1      5  23.4  17.00        5       4
  0  1996       5      5  22.3  17.80        1       1
  0  1996       5      5  23.2  14.80        3       1
  0  1996       5      5  22.4  14.80        1       3
  0  1996       5      5  22.5  18.40        3       2
  0  1996       5      5  21.0  13.50        3       3
  0  1996       5      5  18.0  14.50        3       3
  0  1996       5      5  20.5  13.70        3       3
  0  1996       5      5  22.4  14.00        3       3
  0  1996       5      5  21.5  15.50        3       3
  0  1996       5      5  23.0  14.50        3       3
  0  1996       5      5  21.0  15.50        3       3
  0  1996       5      5  22.5  16.40        3       3
  0  1996       5      5  20.7  16.50        3       3
  0  1996       5      5  20.0  16.00        3       3
  0  1996       5      5  22.2  16.20        3       3
  1  1996       5      5  19.0  16.70        3       3
  0  1996       5      5  23.2  15.40        3       3
  0  1996       5      5  21.0  16.50        3       3
  0  1996       5      5  23.0  16.00        3       3
  0  1996       5      5  22.2  17.50        3       3
  0  1996       5      5  24.5  16.60        3       3
  0  1996       5      5  21.5  15.90        3       3
  0  1996       5      3  24.0  16.20        1       1
  1  1996       5      4  22.2  17.80        1       1
  0  1996       5      4  22.8  16.30        1       2
  1  1996       5      4  22.8  15.70        1       2
  0  1996       5      4  21.2  16.10        1       2
  1  1996       5      3  23.8  15.00        1       3
  0  1996       5      3  22.7  16.00        3       1
  0  1996       5      3  20.6  18.00        3       1
  1  1996       5      4  21.1  17.12        3       1
  0  1996       5      4  22.1  16.80        1       3
  0  1996       5      2  25.7  19.30        1       4
  0  1996       5      3  21.5  14.00        3       2
  1  1996       5      3  22.0  14.70        3       2
  0  1996       5      3  22.0  16.00        3       2
  0  1996       3      5  21.3  16.30        3       2
  0  1996       5      3  24.7  14.00        1       4
  0  1996       5      4  22.0  14.40        3       2
  0  1996       5      4  22.0  14.50        3       2
  0  1996       5      4  19.7  15.70        3       2
  0  1996       5      4  24.6  16.90        1       4
  0  1996       5      4  22.5  16.70        3       2
  0  1996       5      4  21.2  17.00        1       4
  0  1996       3      4  21.9  15.10        3       3
  0  1996       5      2  22.9  16.50        3       3
  0  1996       5      2  20.6  16.50        3       3
  0  1996       3      4  23.2  16.50        3       3
  0  1996       3      4  25.6  17.80        3       3
  0  1996       5      3  22.0  14.50        3       3
  0  1996       5      3  24.1  14.90        3       3
  1  1996       5      3  23.0  15.40        3       3
  0  1996       5      3  20.0  15.80        3       3
  0  1996       5      3  20.5  15.20        3       3
  0  1996       5      3  21.2  16.00        3       3
  0  1996       5      3  22.6  15.70        3       3
  0  1996       5      3  19.0  14.80        3       3
  0  1996       5      3  22.5  15.60        3       3
  1  1996       5      3  21.5  16.90        3       3
  0  1996       5      3  22.8  16.70        3       3
  0  1996       5      3  21.0  16.20        3       3
  0  1996       3      5  22.5  16.50        3       3
  0  1996       5      3  17.5  16.00        3       3
  0  1996       5      3  23.0  16.00        3       3
  1  1996       5      3  23.9  16.50        3       3
  0  1996       5      3  23.6  16.40        3       3
  0  1996       5      3  22.3  16.40        3       3
  0  1996       3      5  22.7  17.20        3       3
  1  1996       5      4  19.4  15.80        3       3
  0  1996       5      4  19.7  14.50        3       3
  0  1996       5      4  24.0  15.20        3       3
  0  1996       5      4  22.7  14.90        3       3
  0  1996       5      4  22.4  15.00        3       3
  1  1996       5      4  21.0  14.80        3       3
  0  1996       5      4  22.3  15.40        3       3
  0  1996       5      4  23.0  16.70        3       3
  0  1996       5      4  21.8  15.00        3       3
  0  1996       5      4  20.5  14.80        3       3
  0  1996       5      4  21.1  15.50        3       3
  1  1996       5      4  25.9  15.20        3       3
  0  1996       5      4  23.3  17.30        3       3
  0  1996       5      4  23.6  15.50        3       3
  0  1996       5      4  19.0  16.50        3       3
  1  1996       5      4  20.5  14.90        3       3
  1  1996       5      4  22.3  16.30        3       3
  0  1996       5      4  22.9  16.30        3       3
  0  1996       5      4  23.1  17.10        3       3
  0  1996       5      4  24.6  16.90        3       3
  0  1996       5      4  24.0  17.00        3       3
  0  1996       5      4  21.7  17.50        3       3
  0  1996       1      2  21.8  16.40        1       1
  0  1996       1      2  22.0  17.00        1       1
  0  1996       1      2  23.5  18.50        1       1
  0  1996       1      3  21.1  16.00        1       1
  0  1996       1      3  23.1  17.30        1       1
  0  1996       1      1  22.3  16.50        1       2
  0  1996       1      1  22.4  16.70        1       2
  0  1996       1      2  23.2  15.30        1       2
  0  1996       1      2  23.0  16.50        1       2
  0  1996       1      3  21.8  12.50        1       2
  0  1996       1      3  22.7  14.50        1       2
  0  1996       1      4  21.1  17.00        1       2
  0  1996       1      1  19.3  15.30        1       3
  0  1996       1      1  24.6  16.50        1       3
  0  1996       1      2  22.4  17.60        1       3
  0  1996       1      3  22.5  18.50        1       3
  0  1996       1      3  20.7  17.80        1       3
  0  1996       3      2  22.6  14.80        3       1
  0  1996       3      2  22.3  17.80        1       3
  1  1996       3      3  21.6  17.90        3       1
  0  1996       1      1  23.9  15.70        3       2
  0  1996       1      4  23.0  15.10        3       2
  0  1996       3      3  21.0  15.30        3       2
  1  1996       1      1  19.6  14.70        3       3
  0  1996       1      1  21.2  16.20        3       3
  0  1996       1      1  22.0  15.80        3       3
  0  1996       1      1  21.2  15.30        3       3
  0  1996       1      1  24.9  16.60        3       3
  0  1996       1      1  21.3  17.50        3       3
  0  1996       1      1  22.0  16.80        3       3
  0  1996       1      1  23.5  16.00        3       3
  0  1996       1      1  22.2  18.60        3       3
  0  1996       1      2  21.3  14.00        3       3
  1  1996       1      2  21.2  14.00        3       3
  0  1996       1      2  22.0  14.30        3       3
  0  1996       1      2  23.2  15.70        3       3
  0  1996       1      2  23.2  14.80        3       3
  0  1996       1      2  21.0  14.80        3       3
  0  1996       1      2  21.8  15.00        3       3
  1  1996       1      2  21.4  16.10        3       3
  0  1996       1      2  21.4  16.40        3       3
  0  1996       1      2  22.0  17.50        3       3
  0  1996       1      2  21.2  16.80        3       3
  0  1996       1      2  22.5  17.00        3       3
  1  1996       1      3  24.0  14.00        3       3
  1  1996       1      3  23.4  14.30        3       3
  0  1996       3      1  21.8  15.50        3       3
  0  1996       1      3  18.6  15.10        3       3
  0  1996       1      3  20.0  14.50        3       3
  0  1996       1      3  22.5  15.50        3       3
  0  1996       1      3  21.5  17.10        3       3
  0  1996       1      3  20.6  15.10        3       3
  1  1996       1      3  22.5  17.20        3       3
  0  1996       3      1  23.8  17.00        3       3
  0  1996       3      2  21.0  14.10        3       3
  0  1996       1      4  20.5  15.90        3       3
  0  1996       1      4  24.0  17.30        3       3
  1  1996       3      2  21.2  17.00        3       3
  0  1996       1      4  23.0  18.10        3       3
  0  1996       1      4  22.9  17.00        3       3
  0  1996       3      3  22.1  14.20        3       3
  1  1996       3      3  22.8  15.30        3       3
  0  1996       3      3  24.9  15.50        3       3
  0  1996       3      3  22.5  16.00        3       3
  0  1996       3      3  19.0  14.90        3       3
  0  1996       3      3  19.2  16.10        3       3
  1  1996       3      3  23.8  16.50        3       3
  1  1996       3      3  21.7  17.30        3       3
  0  1996       3      3  20.9  15.50        3       3
  0  1996       3      3  23.5  16.80        3       3
  0  1996       3      3  22.5  15.60        3       3
  0  1996       3      3  24.1  16.80        3       3
  0  1996       3      3  23.0  17.50        3       3
  0  1996       3      3  20.0  16.50        3       3
  0  1997       5      5  22.3  13.70        5       5
  0  1997       5      5  22.5  15.30        5       5
  0  1997       5      5  22.0  14.90        5       5
  0  1997       5      5  22.2  15.20        5       5
  0  1997       5      5  25.1  15.20        5       5
  0  1997       5      5  21.3  15.70        5       5
  0  1997       5      5  23.4  15.80        5       5
  1  1997       5      5  22.7  16.90        5       5
  0  1997       5      5  22.1  15.90        5       5
  0  1997       5      5  23.8  16.90        5       5
  1  1997       5      5  22.9  15.70        5       5
  0  1997       5      5  23.3  16.50        5       5
  1  1997       5      5  25.9  15.50        5       5
  0  1997       5      5  22.9  16.40        5       5
  0  1997       5      5  22.3  16.40        5       5
  0  1997       5      5  20.4  16.70        5       5
  0  1997       5      5  25.0  16.60        5       5
  0  1997       5      5  20.4  17.70        5       5
  0  1997       5      5  23.9  17.40        5       5
  0  1997       5      5  22.1  17.60        5       5
  0  1997       5      5  25.9  16.30        5       5
  0  1997       5      5  22.4  18.50        5       5
  0  1997       5      5  22.3  17.80        5       5
  0  1997       5      5  22.9  16.50        5       5
  0  1997       3      4  21.0  16.30        5       5
  0  1997       3      4  19.6  16.30        5       5
  0  1997       3      4  24.4  16.90        5       5
  1  1997       3      4  22.1  16.60        5       5
  0  1997       3      4  24.4  16.60        5       5
  0  1997       3      4  22.0  17.10        5       5
  0  1997       3      4  22.5  16.90        5       5
  0  1997       3      4  22.5  19.40        5       5
  0  1997       5      3  23.3  14.50        5       5
  0  1997       5      3  21.4  17.20        5       5
  0  1997       5      3  24.7  16.70        5       5
  0  1997       5      4  21.8  17.00        5       5
  0  1997       5      4  23.0  14.30        5       5
  0  1997       5      4  22.7  16.60        5       5
  1  1997       5      4  22.1  16.80        5       5
  0  1997       5      4  23.0  15.70        5       5
  0  1997       5      4  21.6  15.30        5       5
  0  1997       5      4  23.6  15.40        5       5
  0  1997       5      4  22.1  16.50        5       5
  0  1997       5      4  19.5  16.00        5       5
  1  1997       5      4  20.9  16.40        5       5
  0  1997       5      4  22.5  15.80        5       5
  0  1997       5      4  22.2  18.30        5       5
  0  1997       5      4  22.2  16.10        5       5
  0  1997       5      4  21.7  15.80        5       5
  0  1997       5      4  21.6  16.80        5       5
  0  1997       5      4  21.6  15.40        5       5
  0  1997       5      4  24.5  17.10        5       5
  0  1997       5      4  21.3  15.90        5       5
  1  1997       5      4  24.5  16.10        5       5
  0  1997       5      4  21.2  16.40        5       5
  0  1997       5      4  20.8  16.70        5       5
  1  1997       5      4  24.5  16.70        5       5
  0  1997       5      4  23.3  16.50        5       5
  1  1997       5      4  21.8  16.90        5       5
  1  1997       5      4  24.7  16.60        5       5
  1  1997       5      4  22.7  17.90        5       5
  0  1997       5      4  23.0  16.50        5       5
