 person question    y 
    130        1    1 
    130        0    1 
    131        1    1 
    131        0    1 
    132        1    1 
    132        0    1 
    133        1    1 
    133        0    1 
    134        1    1 
    134        0    1 
    135        1    1 
    135        0    1 
    136        1    1 
    136        0    1 
    137        1    1 
    137        0    1 
    138        1    1 
    138        0    1 
    139        1    1 
    139        0    1 
    140        1    1 
    140        0    1 
    141        1    1 
    141        0    1 
    142        1    1 
    142        0    1 
    143        1    1 
    143        0    1 
    144        1    1 
    144        0    1 
    145        1    1 
    145        0    1 
    146        1    1 
    146        0    1 
    147        1    1 
    147        0    1 
    148        1    1 
    148        0    1 
    149        1    1 
    149        0    1 
    150        1    1 
    150        0    1 
    151        1    1 
    151        0    1 
    152        1    1 
    152        0    1 
    153        1    1 
    153        0    1 
    154        1    1 
    154        0    1 
    155        1    1 
    155        0    1 
    156        1    1 
    156        0    1 
    157        1    1 
    157        0    1 
    158        1    1 
    158        0    1 
    159        1    1 
    159        0    1 
    160        1    1 
    160        0    1 
    161        1    1 
    161        0    1 
    162        1    1 
    162        0    1 
    163        1    1 
    163        0    1 
    164        1    1 
    164        0    1 
    165        1    1 
    165        0    1 
    166        1    1 
    166        0    1 
    167        1    1 
    167        0    1 
    168        1    1 
    168        0    1 
    169        1    1 
    169        0    1 
    170        1    1 
    170        0    1 
    171        1    1 
    171        0    1 
    172        1    1 
    172        0    1 
    173        1    1 
    173        0    1 
    174        1    1 
    174        0    1 
    175        1    1 
    175        0    1 
    176        1    1 
    176        0    1 
    177        1    1 
    177        0    1 
    178        1    1 
    178        0    1 
    179        1    1 
    179        0    1 
    180        1    1 
    180        0    1 
    181        1    1 
    181        0    1 
    182        1    1 
    182        0    1 
    183        1    1 
    183        0    1 
    184        1    1 
    184        0    1 
    185        1    1 
    185        0    1 
    186        1    1 
    186        0    1 
    187        1    1 
    187        0    1 
    188        1    1 
    188        0    1 
    189        1    1 
    189        0    1 
    190        1    1 
    190        0    1 
    191        1    1 
    191        0    1 
    192        1    1 
    192        0    1 
    193        1    1 
    193        0    1 
    194        1    1 
    194        0    1 
    195        1    1 
    195        0    1 
    196        1    1 
    196        0    1 
    197        1    1 
    197        0    1 
    198        1    1 
    198        0    1 
    199        1    1 
    199        0    1 
    200        1    1 
    200        0    1 
    201        1    1 
    201        0    1 
    202        1    1 
    202        0    1 
    203        1    1 
    203        0    1 
    204        1    1 
    204        0    1 
    205        1    1 
    205        0    1 
    206        1    1 
    206        0    1 
    207        1    1 
    207        0    1 
    208        1    1 
    208        0    1 
    209        1    1 
    209        0    1 
    210        1    1 
    210        0    1 
    211        1    1 
    211        0    1 
    212        1    1 
    212        0    1 
    213        1    1 
    213        0    1 
    214        1    1 
    214        0    1 
    215        1    1 
    215        0    1 
    216        1    1 
    216        0    1 
    217        1    1 
    217        0    1 
    218        1    1 
    218        0    1 
    219        1    1 
    219        0    1 
    220        1    1 
    220        0    1 
    221        1    1 
    221        0    1 
    222        1    1 
    222        0    1 
    223        1    1 
    223        0    1 
    224        1    1 
    224        0    1 
    225        1    1 
    225        0    1 
    226        1    1 
    226        0    1 
    227        1    1 
    227        0    1 
    228        1    1 
    228        0    0 
    229        1    1 
    229        0    0 
    230        1    1 
    230        0    0 
    231        1    1 
    231        0    0 
    232        1    1 
    232        0    0 
    233        1    1 
    233        0    0 
    234        1    1 
    234        0    0 
    235        1    1 
    235        0    0 
    236        1    1 
    236        0    0 
    237        1    1 
    237        0    0 
    238        1    1 
    238        0    0 
    239        1    1 
    239        0    0 
    240        1    1 
    240        0    0 
    241        1    1 
    241        0    0 
    242        1    1 
    242        0    0 
    243        1    1 
    243        0    0 
    244        1    1 
    244        0    0 
    245        1    1 
    245        0    0 
    246        1    1 
    246        0    0 
    247        1    1 
    247        0    0 
    248        1    1 
    248        0    0 
    249        1    1 
    249        0    0 
    250        1    1 
    250        0    0 
    251        1    1 
    251        0    0 
    252        1    1 
    252        0    0 
    253        1    1 
    253        0    0 
    254        1    1 
    254        0    0 
    255        1    1 
    255        0    0 
    256        1    1 
    256        0    0 
    257        1    1 
    257        0    0 
    258        1    1 
    258        0    0 
    259        1    1 
    259        0    0 
    260        1    1 
    260        0    0 
    261        1    1 
    261        0    0 
    262        1    1 
    262        0    0 
    263        1    1 
    263        0    0 
    264        1    1 
    264        0    0 
    265        1    1 
    265        0    0 
    266        1    1 
    266        0    0 
    267        1    1 
    267        0    0 
    268        1    1 
    268        0    0 
    269        1    1 
    269        0    0 
    270        1    1 
    270        0    0 
    271        1    1 
    271        0    0 
    272        1    1 
    272        0    0 
    273        1    1 
    273        0    0 
    274        1    1 
    274        0    0 
    275        1    1 
    275        0    0 
    276        1    1 
    276        0    0 
    277        1    1 
    277        0    0 
    278        1    1 
    278        0    0 
    279        1    1 
    279        0    0 
    280        1    1 
    280        0    0 
    281        1    1 
    281        0    0 
    282        1    1 
    282        0    0 
    283        1    1 
    283        0    0 
    284        1    1 
    284        0    0 
    285        1    1 
    285        0    0 
    286        1    1 
    286        0    0 
    287        1    1 
    287        0    0 
    288        1    1 
    288        0    0 
    289        1    1 
    289        0    0 
    290        1    1 
    290        0    0 
    291        1    1 
    291        0    0 
    292        1    1 
    292        0    0 
    293        1    1 
    293        0    0 
    294        1    1 
    294        0    0 
    295        1    1 
    295        0    0 
    296        1    1 
    296        0    0 
    297        1    1 
    297        0    0 
    298        1    1 
    298        0    0 
    299        1    1 
    299        0    0 
    300        1    1 
    300        0    0 
    301        1    1 
    301        0    0 
    302        1    1 
    302        0    0 
    303        1    1 
    303        0    0 
    304        1    1 
    304        0    0 
    305        1    1 
    305        0    0 
    306        1    1 
    306        0    0 
    307        1    1 
    307        0    0 
    308        1    1 
    308        0    0 
    309        1    1 
    309        0    0 
    310        1    1 
    310        0    0 
    311        1    1 
    311        0    0 
    312        1    1 
    312        0    0 
    313        1    1 
    313        0    0 
    314        1    1 
    314        0    0 
    315        1    1 
    315        0    0 
    316        1    1 
    316        0    0 
    317        1    1 
    317        0    0 
    318        1    1 
    318        0    0 
    319        1    1 
    319        0    0 
    320        1    1 
    320        0    0 
    321        1    1 
    321        0    0 
    322        1    1 
    322        0    0 
    323        1    1 
    323        0    0 
    324        1    1 
    324        0    0 
    325        1    1 
    325        0    0 
    326        1    1 
    326        0    0 
    327        1    1 
    327        0    0 
    328        1    1 
    328        0    0 
    329        1    1 
    329        0    0 
    330        1    1 
    330        0    0 
    331        1    1 
    331        0    0 
    332        1    1 
    332        0    0 
    333        1    1 
    333        0    0 
    334        1    1 
    334        0    0 
    335        1    1 
    335        0    0 
    336        1    1 
    336        0    0 
    337        1    1 
    337        0    0 
    338        1    1 
    338        0    0 
    339        1    1 
    339        0    0 
    340        1    1 
    340        0    0 
    341        1    1 
    341        0    0 
    342        1    1 
    342        0    0 
    343        1    1 
    343        0    0 
    344        1    1 
    344        0    0 
    345        1    1 
    345        0    0 
    346        1    1 
    346        0    0 
    347        1    1 
    347        0    0 
    348        1    1 
    348        0    0 
    349        1    1 
    349        0    0 
    350        1    1 
    350        0    0 
    351        1    1 
    351        0    0 
    352        1    1 
    352        0    0 
    353        1    1 
    353        0    0 
    354        1    1 
    354        0    0 
    355        1    1 
    355        0    0 
    356        1    1 
    356        0    0 
    357        1    1 
    357        0    0 
    358        1    1 
    358        0    0 
    359        1    1 
    359        0    0 
    360        1    0 
    360        0    1 
    361        1    0 
    361        0    1 
    362        1    0 
    362        0    1 
    363        1    0 
    363        0    1 
    364        1    0 
    364        0    1 
    365        1    0 
    365        0    1 
    366        1    0 
    366        0    1 
    367        1    0 
    367        0    1 
    368        1    0 
    368        0    1 
    369        1    0 
    369        0    1 
    370        1    0 
    370        0    1 
    371        1    0 
    371        0    1 
    372        1    0 
    372        0    1 
    373        1    0 
    373        0    1 
    374        1    0 
    374        0    1 
    375        1    0 
    375        0    1 
    376        1    0 
    376        0    1 
    377        1    0 
    377        0    1 
    378        1    0 
    378        0    1 
    379        1    0 
    379        0    1 
    380        1    0 
    380        0    1 
    381        1    0 
    381        0    1 
    382        1    0 
    382        0    1 
    383        1    0 
    383        0    1 
    384        1    0 
    384        0    1 
    385        1    0 
    385        0    1 
    386        1    0 
    386        0    1 
    387        1    0 
    387        0    1 
    388        1    0 
    388        0    1 
    389        1    0 
    389        0    1 
    390        1    0 
    390        0    1 
    391        1    0 
    391        0    1 
    392        1    0 
    392        0    1 
    393        1    0 
    393        0    1 
    394        1    0 
    394        0    1 
    395        1    0 
    395        0    1 
    396        1    0 
    396        0    1 
    397        1    0 
    397        0    1 
    398        1    0 
    398        0    1 
    399        1    0 
    399        0    1 
    400        1    0 
    400        0    1 
    401        1    0 
    401        0    1 
    402        1    0 
    402        0    1 
    403        1    0 
    403        0    1 
    404        1    0 
    404        0    1 
    405        1    0 
    405        0    1 
    406        1    0 
    406        0    1 
    407        1    0 
    407        0    1 
    408        1    0 
    408        0    1 
    409        1    0 
    409        0    1 
    410        1    0 
    410        0    1 
    411        1    0 
    411        0    1 
    412        1    0 
    412        0    1 
    413        1    0 
    413        0    1 
    414        1    0 
    414        0    1 
    415        1    0 
    415        0    1 
    416        1    0 
    416        0    1 
    417        1    0 
    417        0    1 
    418        1    0 
    418        0    1 
    419        1    0 
    419        0    1 
    420        1    0 
    420        0    1 
    421        1    0 
    421        0    1 
    422        1    0 
    422        0    1 
    423        1    0 
    423        0    1 
    424        1    0 
    424        0    1 
    425        1    0 
    425        0    1 
    426        1    0 
    426        0    1 
    427        1    0 
    427        0    1 
    428        1    0 
    428        0    1 
    429        1    0 
    429        0    1 
    430        1    0 
    430        0    1 
    431        1    0 
    431        0    1 
    432        1    0 
    432        0    1 
    433        1    0 
    433        0    1 
    434        1    0 
    434        0    1 
    435        1    0 
    435        0    1 
    436        1    0 
    436        0    1 
    437        1    0 
    437        0    1 
    438        1    0 
    438        0    1 
    439        1    0 
    439        0    1 
    440        1    0 
    440        0    1 
    441        1    0 
    441        0    1 
    442        1    0 
    442        0    1 
    443        1    0 
    443        0    1 
    444        1    0 
    444        0    1 
    445        1    0 
    445        0    1 
    446        1    0 
    446        0    1 
    447        1    0 
    447        0    1 
    448        1    0 
    448        0    1 
    449        1    0 
    449        0    1 
    450        1    0 
    450        0    1 
    451        1    0 
    451        0    1 
    452        1    0 
    452        0    1 
    453        1    0 
    453        0    1 
    454        1    0 
    454        0    1 
    455        1    0 
    455        0    1 
    456        1    0 
    456        0    1 
    457        1    0 
    457        0    1 
    458        1    0 
    458        0    1 
    459        1    0 
    459        0    1 
    460        1    0 
    460        0    1 
    461        1    0 
    461        0    1 
    462        1    0 
    462        0    1 
    463        1    0 
    463        0    1 
    464        1    0 
    464        0    1 
    465        1    0 
    465        0    1 
    466        1    0 
    466        0    1 
    467        1    0 
    467        0    0 
    468        1    0 
    468        0    0 
    469        1    0 
    469        0    0 
    470        1    0 
    470        0    0 
    471        1    0 
    471        0    0 
    472        1    0 
    472        0    0 
    473        1    0 
    473        0    0 
    474        1    0 
    474        0    0 
    475        1    0 
    475        0    0 
    476        1    0 
    476        0    0 
    477        1    0 
    477        0    0 
    478        1    0 
    478        0    0 
    479        1    0 
    479        0    0 
    480        1    0 
    480        0    0 
    481        1    0 
    481        0    0 
    482        1    0 
    482        0    0 
    483        1    0 
    483        0    0 
    484        1    0 
    484        0    0 
    485        1    0 
    485        0    0 
    486        1    0 
    486        0    0 
    487        1    0 
    487        0    0 
    488        1    0 
    488        0    0 
    489        1    0 
    489        0    0 
    490        1    0 
    490        0    0 
    491        1    0 
    491        0    0 
    492        1    0 
    492        0    0 
    493        1    0 
    493        0    0 
    494        1    0 
    494        0    0 
    495        1    0 
    495        0    0 
    496        1    0 
    496        0    0 
    497        1    0 
    497        0    0 
    498        1    0 
    498        0    0 
    499        1    0 
    499        0    0 
    500        1    0 
    500        0    0 
    501        1    0 
    501        0    0 
    502        1    0 
    502        0    0 
    503        1    0 
    503        0    0 
    504        1    0 
    504        0    0 
    505        1    0 
    505        0    0 
    506        1    0 
    506        0    0 
    507        1    0 
    507        0    0 
    508        1    0 
    508        0    0 
    509        1    0 
    509        0    0 
    510        1    0 
    510        0    0 
    511        1    0 
    511        0    0 
    512        1    0 
    512        0    0 
    513        1    0 
    513        0    0 
    514        1    0 
    514        0    0 
    515        1    0 
    515        0    0 
    516        1    0 
    516        0    0 
    517        1    0 
    517        0    0 
    518        1    0 
    518        0    0 
    519        1    0 
    519        0    0 
    520        1    0 
    520        0    0 
    521        1    0 
    521        0    0 
    522        1    0 
    522        0    0 
    523        1    0 
    523        0    0 
    524        1    0 
    524        0    0 
    525        1    0 
    525        0    0 
    526        1    0 
    526        0    0 
    527        1    0 
    527        0    0 
    528        1    0 
    528        0    0 
    529        1    0 
    529        0    0 
    530        1    0 
    530        0    0 
    531        1    0 
    531        0    0 
    532        1    0 
    532        0    0 
    533        1    0 
    533        0    0 
    534        1    0 
    534        0    0 
    535        1    0 
    535        0    0 
    536        1    0 
    536        0    0 
    537        1    0 
    537        0    0 
    538        1    0 
    538        0    0 
    539        1    0 
    539        0    0 
    540        1    0 
    540        0    0 
    541        1    0 
    541        0    0 
    542        1    0 
    542        0    0 
    543        1    0 
    543        0    0 
    544        1    0 
    544        0    0 
    545        1    0 
    545        0    0 
    546        1    0 
    546        0    0 
    547        1    0 
    547        0    0 
    548        1    0 
    548        0    0 
    549        1    0 
    549        0    0 
    550        1    0 
    550        0    0 
    551        1    0 
    551        0    0 
    552        1    0 
    552        0    0 
    553        1    0 
    553        0    0 
    554        1    0 
    554        0    0 
    555        1    0 
    555        0    0 
    556        1    0 
    556        0    0 
    557        1    0 
    557        0    0 
    558        1    0 
    558        0    0 
    559        1    0 
    559        0    0 
    560        1    0 
    560        0    0 
    561        1    0 
    561        0    0 
    562        1    0 
    562        0    0 
    563        1    0 
    563        0    0 
    564        1    0 
    564        0    0 
    565        1    0 
    565        0    0 
    566        1    0 
    566        0    0 
    567        1    0 
    567        0    0 
    568        1    0 
    568        0    0 
    569        1    0 
    569        0    0 
    570        1    0 
    570        0    0 
    571        1    0 
    571        0    0 
    572        1    0 
    572        0    0 
    573        1    0 
    573        0    0 
    574        1    0 
    574        0    0 
    575        1    0 
    575        0    0 
    576        1    0 
    576        0    0 
    577        1    0 
    577        0    0 
    578        1    0 
    578        0    0 
    579        1    0 
    579        0    0 
    580        1    0 
    580        0    0 
    581        1    0 
    581        0    0 
    582        1    0 
    582        0    0 
    583        1    0 
    583        0    0 
    584        1    0 
    584        0    0 
    585        1    0 
    585        0    0 
    586        1    0 
    586        0    0 
    587        1    0 
    587        0    0 
    588        1    0 
    588        0    0 
    589        1    0 
    589        0    0 
    590        1    0 
    590        0    0 
    591        1    0 
    591        0    0 
    592        1    0 
    592        0    0 
    593        1    0 
    593        0    0 
    594        1    0 
    594        0    0 
    595        1    0 
    595        0    0 
    596        1    0 
    596        0    0 
    597        1    0 
    597        0    0 
    598        1    0 
    598        0    0 
    599        1    0 
    599        0    0 
    600        1    0 
    600        0    0 
    601        1    0 
    601        0    0 
    602        1    0 
    602        0    0 
    603        1    0 
    603        0    0 
    604        1    0 
    604        0    0 
    605        1    0 
    605        0    0 
    606        1    0 
    606        0    0 
    607        1    0 
    607        0    0 
    608        1    0 
    608        0    0 
    609        1    0 
    609        0    0 
    610        1    0 
    610        0    0 
    611        1    0 
    611        0    0 
    612        1    0 
    612        0    0 
    613        1    0 
    613        0    0 
    614        1    0 
    614        0    0 
    615        1    0 
    615        0    0 
    616        1    0 
    616        0    0 
    617        1    0 
    617        0    0 
    618        1    0 
    618        0    0 
    619        1    0 
    619        0    0 
    620        1    0 
    620        0    0 
    621        1    0 
    621        0    0 
    622        1    0 
    622        0    0 
    623        1    0 
    623        0    0 
    624        1    0 
    624        0    0 
    625        1    0 
    625        0    0 
    626        1    0 
    626        0    0 
    627        1    0 
    627        0    0 
    628        1    0 
    628        0    0 
    629        1    0 
    629        0    0 
    630        1    0 
    630        0    0 
    631        1    0 
    631        0    0 
    632        1    0 
    632        0    0 
    633        1    0 
    633        0    0 
    634        1    0 
    634        0    0 
    635        1    0 
    635        0    0 
    636        1    0 
    636        0    0 
    637        1    0 
    637        0    0 
    638        1    0 
    638        0    0 
    639        1    0 
    639        0    0 
    640        1    0 
    640        0    0 
    641        1    0 
    641        0    0 
    642        1    0 
    642        0    0 
    643        1    0 
    643        0    0 
    644        1    0 
    644        0    0 
    645        1    0 
    645        0    0 
    646        1    0 
    646        0    0 
    647        1    0 
    647        0    0 
    648        1    0 
    648        0    0 
    649        1    0 
    649        0    0 
    650        1    0 
    650        0    0 
    651        1    0 
    651        0    0 
    652        1    0 
    652        0    0 
    653        1    0 
    653        0    0 
    654        1    0 
    654        0    0 
    655        1    0 
    655        0    0 
    656        1    0 
    656        0    0 
    657        1    0 
    657        0    0 
    658        1    0 
    658        0    0 
    659        1    0 
    659        0    0 
    660        1    0 
    660        0    0 
    661        1    0 
    661        0    0 
    662        1    0 
    662        0    0 
    663        1    0 
    663        0    0 
    664        1    0 
    664        0    0 
    665        1    0 
    665        0    0 
    666        1    0 
    666        0    0 
    667        1    0 
    667        0    0 
    668        1    0 
    668        0    0 
    669        1    0 
    669        0    0 
    670        1    0 
    670        0    0 
    671        1    0 
    671        0    0 
    672        1    0 
    672        0    0 
    673        1    0 
    673        0    0 
    674        1    0 
    674        0    0 
    675        1    0 
    675        0    0 
    676        1    0 
    676        0    0 
    677        1    0 
    677        0    0 
    678        1    0 
    678        0    0 
    679        1    0 
    679        0    0 
    680        1    0 
    680        0    0 
    681        1    0 
    681        0    0 
    682        1    0 
    682        0    0 
    683        1    0 
    683        0    0 
    684        1    0 
    684        0    0 
    685        1    0 
    685        0    0 
    686        1    0 
    686        0    0 
    687        1    0 
    687        0    0 
    688        1    0 
    688        0    0 
    689        1    0 
    689        0    0 
    690        1    0 
    690        0    0 
    691        1    0 
    691        0    0 
    692        1    0 
    692        0    0 
    693        1    0 
    693        0    0 
    694        1    0 
    694        0    0 
    695        1    0 
    695        0    0 
    696        1    0 
    696        0    0 
    697        1    0 
    697        0    0 
    698        1    0 
    698        0    0 
    699        1    0 
    699        0    0 
    700        1    0 
    700        0    0 
    701        1    0 
    701        0    0 
    702        1    0 
    702        0    0 
    703        1    0 
    703        0    0 
    704        1    0 
    704        0    0 
    705        1    0 
    705        0    0 
    706        1    0 
    706        0    0 
    707        1    0 
    707        0    0 
    708        1    0 
    708        0    0 
    709        1    0 
    709        0    0 
    710        1    0 
    710        0    0 
    711        1    0 
    711        0    0 
    712        1    0 
    712        0    0 
    713        1    0 
    713        0    0 
    714        1    0 
    714        0    0 
    715        1    0 
    715        0    0 
    716        1    0 
    716        0    0 
    717        1    0 
    717        0    0 
    718        1    0 
    718        0    0 
    719        1    0 
    719        0    0 
    720        1    0 
    720        0    0 
    721        1    0 
    721        0    0 
    722        1    0 
    722        0    0 
    723        1    0 
    723        0    0 
    724        1    0 
    724        0    0 
    725        1    0 
    725        0    0 
    726        1    0 
    726        0    0 
    727        1    0 
    727        0    0 
    728        1    0 
    728        0    0 
    729        1    0 
    729        0    0 
    730        1    0 
    730        0    0 
    731        1    0 
    731        0    0 
    732        1    0 
    732        0    0 
    733        1    0 
    733        0    0 
    734        1    0 
    734        0    0 
    735        1    0 
    735        0    0 
    736        1    0 
    736        0    0 
    737        1    0 
    737        0    0 
    738        1    0 
    738        0    0 
    739        1    0 
    739        0    0 
    740        1    0 
    740        0    0 
    741        1    0 
    741        0    0 
    742        1    0 
    742        0    0 
    743        1    0 
    743        0    0 
    744        1    0 
    744        0    0 
    745        1    0 
    745        0    0 
    746        1    0 
    746        0    0 
    747        1    0 
    747        0    0 
    748        1    0 
    748        0    0 
    749        1    0 
    749        0    0 
    750        1    0 
    750        0    0 
    751        1    0 
    751        0    0 
    752        1    0 
    752        0    0 
    753        1    0 
    753        0    0 
    754        1    0 
    754        0    0 
    755        1    0 
    755        0    0 
    756        1    0 
    756        0    0 
    757        1    0 
    757        0    0 
    758        1    0 
    758        0    0 
    759        1    0 
    759        0    0 
    760        1    0 
    760        0    0 
    761        1    0 
    761        0    0 
    762        1    0 
    762        0    0 
    763        1    0 
    763        0    0 
    764        1    0 
    764        0    0 
    765        1    0 
    765        0    0 
    766        1    0 
    766        0    0 
    767        1    0 
    767        0    0 
    768        1    0 
    768        0    0 
    769        1    0 
    769        0    0 
    770        1    0 
    770        0    0 
    771        1    0 
    771        0    0 
    772        1    0 
    772        0    0 
    773        1    0 
    773        0    0 
    774        1    0 
    774        0    0 
    775        1    0 
    775        0    0 
    776        1    0 
    776        0    0 
    777        1    0 
    777        0    0 
    778        1    0 
    778        0    0 
    779        1    0 
    779        0    0 
    780        1    0 
    780        0    0 
    781        1    0 
    781        0    0 
    782        1    0 
    782        0    0 
    783        1    0 
    783        0    0 
    784        1    0 
    784        0    0 
    785        1    0 
    785        0    0 
    786        1    0 
    786        0    0 
    787        1    0 
    787        0    0 
    788        1    0 
    788        0    0 
    789        1    0 
    789        0    0 
    790        1    0 
    790        0    0 
    791        1    0 
    791        0    0 
    792        1    0 
    792        0    0 
    793        1    0 
    793        0    0 
    794        1    0 
    794        0    0 
    795        1    0 
    795        0    0 
    796        1    0 
    796        0    0 
    797        1    0 
    797        0    0 
    798        1    0 
    798        0    0 
    799        1    0 
    799        0    0 
    800        1    0 
    800        0    0 
    801        1    0 
    801        0    0 
    802        1    0 
    802        0    0 
    803        1    0 
    803        0    0 
    804        1    0 
    804        0    0 
    805        1    0 
    805        0    0 
    806        1    0 
    806        0    0 
    807        1    0 
    807        0    0 
    808        1    0 
    808        0    0 
    809        1    0 
    809        0    0 
    810        1    0 
    810        0    0 
    811        1    0 
    811        0    0 
    812        1    0 
    812        0    0 
    813        1    0 
    813        0    0 
    814        1    0 
    814        0    0 
    815        1    0 
    815        0    0 
    816        1    0 
    816        0    0 
    817        1    0 
    817        0    0 
    818        1    0 
    818        0    0 
    819        1    0 
    819        0    0 
    820        1    0 
    820        0    0 
    821        1    0 
    821        0    0 
    822        1    0 
    822        0    0 
    823        1    0 
    823        0    0 
    824        1    0 
    824        0    0 
    825        1    0 
    825        0    0 
    826        1    0 
    826        0    0 
    827        1    0 
    827        0    0 
    828        1    0 
    828        0    0 
    829        1    0 
    829        0    0 
    830        1    0 
    830        0    0 
    831        1    0 
    831        0    0 
    832        1    0 
    832        0    0 
    833        1    0 
    833        0    0 
    834        1    0 
    834        0    0 
    835        1    0 
    835        0    0 
    836        1    0 
    836        0    0 
    837        1    0 
    837        0    0 
    838        1    0 
    838        0    0 
    839        1    0 
    839        0    0 
    840        1    0 
    840        0    0 
    841        1    0 
    841        0    0 
    842        1    0 
    842        0    0 
    843        1    0 
    843        0    0 
    844        1    0 
    844        0    0 
    845        1    0 
    845        0    0 
    846        1    0 
    846        0    0 
    847        1    0 
    847        0    0 
    848        1    0 
    848        0    0 
    849        1    0 
    849        0    0 
    850        1    0 
    850        0    0 
    851        1    0 
    851        0    0 
    852        1    0 
    852        0    0 
    853        1    0 
    853        0    0 
    854        1    0 
    854        0    0 
    855        1    0 
    855        0    0 
    856        1    0 
    856        0    0 
    857        1    0 
    857        0    0 
    858        1    0 
    858        0    0 
    859        1    0 
    859        0    0 
    860        1    0 
    860        0    0 
    861        1    0 
    861        0    0 
    862        1    0 
    862        0    0 
    863        1    0 
    863        0    0 
    864        1    0 
    864        0    0 
    865        1    0 
    865        0    0 
    866        1    0 
    866        0    0 
    867        1    0 
    867        0    0 
    868        1    0 
    868        0    0 
    869        1    0 
    869        0    0 
    870        1    0 
    870        0    0 
    871        1    0 
    871        0    0 
    872        1    0 
    872        0    0 
    873        1    0 
    873        0    0 
    874        1    0 
    874        0    0 
