observ  group  litter  y 
313       1     30     0  
314       1     30     0  
315       1     30     0  
316       1     31     1  
317       1     31     1  
318       1     31     1  
319       1     31     1  
320       1     31     1  
321       1     31     1  
322       1     31     1  
323       1     31     1  
324       1     31     1  
325       1     31     1  
326       1     31     1  
327       1     31     1  
328       2     32     1  
329       2     32     0  
330       2     32     0  
331       2     32     0  
332       2     32     0  
333       2     32     0  
334       2     32     0  
335       2     32     0  
336       2     32     0  
337       2     32     0  
338       2     33     1  
339       2     33     0  
340       2     33     0  
341       2     34     1  
342       2     34     0  
343       2     34     0  
344       2     34     0  
345       2     34     0  
346       2     34     0  
347       2     34     0  
348       2     34     0  
349       2     34     0  
350       2     34     0  
351       2     34     0  
352       2     34     0  
353       2     34     0  
354       2     35     0  
355       2     35     0  
356       2     35     0  
357       2     35     0  
358       2     35     0  
359       2     35     0  
360       2     35     0  
361       2     35     0  
362       2     35     0  
363       2     35     0  
364       2     35     0  
365       2     35     0  
366       2     36     1  
367       2     36     1  
368       2     36     1  
369       2     36     1  
370       2     36     0  
371       2     36     0  
372       2     36     0  
373       2     36     0  
374       2     36     0  
375       2     36     0  
376       2     36     0  
377       2     36     0  
378       2     36     0  
379       2     36     0  
380       2     37     1  
381       2     37     1  
382       2     37     0  
383       2     37     0  
384       2     37     0  
385       2     37     0  
386       2     37     0  
387       2     37     0  
388       2     37     0  
389       2     38     1  
390       2     38     1  
391       2     38     0  
392       2     38     0  
393       2     38     0  
394       2     38     0  
395       2     38     0  
396       2     38     0  
397       2     38     0  
398       2     38     0  
399       2     38     0  
400       2     38     0  
401       2     38     0  
402       2     39     1  
403       2     39     0  
404       2     39     0  
405       2     39     0  
406       2     39     0  
407       2     39     0  
408       2     39     0  
409       2     39     0  
410       2     39     0  
411       2     39     0  
412       2     39     0  
413       2     39     0  
414       2     39     0  
415       2     39     0  
416       2     39     0  
417       2     39     0  
418       2     40     0  
419       2     40     0  
420       2     40     0  
421       2     40     0  
422       2     40     0  
423       2     40     0  
424       2     40     0  
425       2     40     0  
426       2     40     0  
427       2     40     0  
428       2     40     0  
429       2     41     0  
430       2     41     0  
431       2     41     0  
432       2     41     0  
433       2     42     0  
434       2     43     0  
435       2     43     0  
436       2     43     0  
437       2     43     0  
438       2     43     0  
439       2     43     0  
440       2     43     0  
441       2     43     0  
442       2     43     0  
443       2     43     0  
444       2     43     0  
445       2     43     0  
446       3     44     0  
447       3     44     0  
448       3     44     0  
449       3     44     0  
450       3     44     0  
451       3     44     0  
452       3     44     0  
453       3     44     0  
454       3     45     1  
455       3     45     0  
456       3     45     0  
457       3     45     0  
458       3     45     0  
459       3     45     0  
460       3     45     0  
461       3     45     0  
462       3     45     0  
463       3     45     0  
464       3     45     0  
465       3     46     0  
466       3     46     0  
467       3     46     0  
468       3     46     0  
469       3     46     0  
470       3     46     0  
471       3     46     0  
472       3     46     0  
473       3     46     0  
474       3     46     0  
475       3     46     0  
476       3     46     0  
477       3     46     0  
478       3     46     0  
479       3     47     1  
480       3     47     0  
481       3     47     0  
482       3     47     0  
483       3     47     0  
484       3     47     0  
485       3     47     0  
486       3     47     0  
487       3     47     0  
488       3     47     0  
489       3     47     0  
490       3     47     0  
491       3     47     0  
492       3     47     0  
493       3     48     0  
494       3     48     0  
495       3     48     0  
496       3     48     0  
497       3     48     0  
498       3     48     0  
499       3     48     0  
500       3     48     0  
501       3     48     0  
502       3     48     0  
503       3     48     0  
504       4     49     0  
505       4     49     0  
506       4     49     0  
507       4     50     0  
508       4     50     0  
509       4     50     0  
510       4     50     0  
511       4     50     0  
512       4     50     0  
513       4     50     0  
514       4     50     0  
515       4     50     0  
516       4     50     0  
517       4     50     0  
518       4     50     0  
519       4     50     0  
520       4     51     1  
521       4     51     1  
522       4     51     0  
523       4     51     0  
524       4     51     0  
525       4     51     0  
526       4     51     0  
527       4     51     0  
528       4     51     0  
529       4     52     1  
530       4     52     1  
531       4     52     0  
532       4     52     0  
533       4     52     0  
534       4     52     0  
535       4     52     0  
536       4     52     0  
537       4     52     0  
538       4     52     0  
539       4     52     0  
540       4     52     0  
541       4     52     0  
542       4     52     0  
543       4     52     0  
544       4     52     0  
545       4     52     0  
546       4     53     0  
547       4     53     0  
548       4     53     0  
549       4     53     0  
550       4     53     0  
551       4     53     0  
552       4     53     0  
553       4     53     0  
554       4     53     0  
555       4     53     0  
556       4     53     0  
557       4     53     0  
558       4     53     0  
559       4     53     0  
560       4     53     0  
561       4     54     0  
562       4     54     0  
563       4     55     1  
564       4     55     0  
565       4     55     0  
566       4     55     0  
567       4     55     0  
568       4     55     0  
569       4     55     0  
570       4     55     0  
571       4     55     0  
572       4     55     0  
573       4     55     0  
574       4     55     0  
575       4     55     0  
576       4     55     0  
577       4     56     0  
578       4     56     0  
579       4     56     0  
580       4     56     0  
581       4     56     0  
582       4     56     0  
583       4     56     0  
584       4     56     0  
585       4     57     0  
586       4     57     0  
587       4     57     0  
588       4     57     0  
589       4     57     0  
590       4     57     0  
591       4     58     0  
592       4     58     0  
593       4     58     0  
594       4     58     0  
595       4     58     0  
596       4     58     0  
597       4     58     0  
598       4     58     0  
599       4     58     0  
600       4     58     0  
601       4     58     0  
602       4     58     0  
603       4     58     0  
604       4     58     0  
605       4     58     0  
606       4     58     0  
607       4     58     0  
