 student  school  class     SC    TV  PTHK   THK     y 
  73       193    193101     0     0    0      3     1   
  74       193    193101     0     0    3      2     0   
  75       194    194101     0     0    3      1     0   
  76       194    194101     0     0    1      2     0   
  77       194    194101     0     0    2      3     1   
  78       194    194101     0     0    2      3     1   
  79       194    194101     0     0    0      1     0   
  80       194    194101     0     0    0      3     1   
  81       194    194101     0     0    4      2     0   
  82       194    194101     0     0    2      2     0   
  83       194    194101     0     0    1      3     1   
  84       194    194101     0     0    1      2     0   
  85       194    194101     0     0    1      1     0   
  86       194    194102     0     0    2      3     1   
  87       194    194102     0     0    4      4     1   
  88       194    194102     0     0    4      3     1   
  89       194    194102     0     0    2      3     1   
  90       194    194102     0     0    0      0     0   
  91       194    194102     0     0    4      4     1   
  92       194    194102     0     0    4      2     0   
  93       194    194102     0     0    2      3     1   
  94       194    194102     0     0    0      2     0   
  95       194    194102     0     0    4      2     0   
  96       194    194103     0     0    2      2     0   
  97       194    194103     0     0    2      2     0   
  98       194    194103     0     0    2      2     0   
  99       194    194103     0     0    2      0     0   
 100       194    194103     0     0    3      5     1   
 101       194    194103     0     0    2      0     0   
 102       194    194103     0     0    2      4     1   
 103       194    194103     0     0    0      0     0   
 104       194    194103     0     0    0      4     1   
 105       194    194103     0     0    2      2     0   
 106       194    194103     0     0    1      1     0   
 107       194    194103     0     0    3      1     0   
 108       194    194103     0     0    2      0     0   
 109       194    194103     0     0    5      1     0   
 110       194    194103     0     0    1      1     0   
 111       194    194104     0     0    1      1     0   
 112       194    194104     0     0    4      4     1   
 113       194    194104     0     0    3      4     1   
 114       194    194104     0     0    3      4     1   
 115       194    194104     0     0    1      3     1   
 116       194    194104     0     0    5      4     1   
 117       194    194104     0     0    1      2     0   
 118       194    194104     0     0    4      3     1   
 119       194    194104     0     0    2      1     0   
 120       194    194104     0     0    2      1     0   
 121       194    194104     0     0    2      1     0   
 122       194    194104     0     0    2      3     1   
 123       194    194105     0     0    2      2     0   
 124       194    194105     0     0    2      2     0   
 125       194    194105     0     0    2      1     0   
 126       194    194105     0     0    3      2     0   
 127       194    194105     0     0    2      2     0   
 128       194    194105     0     0    4      2     0   
 129       194    194105     0     0    3      5     1   
 130       194    194105     0     0    0      4     1   
 131       194    194105     0     0    0      1     0   
 132       194    194105     0     0    1      5     1   
 133       194    194105     0     0    2      3     1   
 134       194    194105     0     0    1      2     0   
 135       194    194106     0     0    3      2     0   
 136       194    194106     0     0    2      2     0   
 137       194    194106     0     0    2      5     1   
 138       194    194106     0     0    2      4     1   
 139       194    194106     0     0    5      4     1   
 140       194    194106     0     0    3      5     1   
 141       194    194106     0     0    3      5     1   
 142       194    194106     0     0    3      3     1   
 143       194    194106     0     0    1      0     0   
 144       194    194106     0     0    2      5     1   
 145       196    196101     1     0    3      4     1   
 146       196    196101     1     0    3      4     1   
 147       196    196101     1     0    4      2     0   
 148       196    196101     1     0    5      4     1   
 149       196    196101     1     0    1      3     1   
 150       196    196101     1     0    2      2     0   
 151       196    196101     1     0    4      4     1   
 152       196    196101     1     0    2      1     0   
 153       196    196101     1     0    4      4     1   
 154       196    196101     1     0    1      2     0   
 155       196    196101     1     0    2      4     1   
 156       196    196101     1     0    3      4     1   
 157       196    196101     1     0    2      3     1   
 158       196    196101     1     0    4      3     1   
 159       196    196101     1     0    3      1     0   
 160       196    196101     1     0    2      5     1   
 161       196    196101     1     0    2      3     1   
 162       196    196101     1     0    2      3     1   
 163       196    196101     1     0    3      3     1   
 164       196    196101     1     0    2      3     1   
 165       196    196101     1     0    3      3     1   
 166       196    196102     1     0    4      4     1   
 167       196    196102     1     0    3      3     1   
 168       196    196102     1     0    3      3     1   
 169       196    196102     1     0    0      3     1   
 170       196    196102     1     0    0      2     0   
 171       196    196102     1     0    3      4     1   
 172       196    196102     1     0    4      4     1   
 173       196    196102     1     0    2      4     1   
 174       196    196102     1     0    0      3     1   
 175       196    196102     1     0    1      4     1   
 176       197    197101     0     0    2      5     1   
 177       197    197101     0     0    1      2     0   
 178       197    197101     0     0    2      5     1   
 179       197    197101     0     0    2      2     0   
 180       197    197101     0     0    3      2     0   
 181       197    197101     0     0    4      3     1   
 182       197    197101     0     0    1      2     0   
 183       197    197101     0     0    1      1     0   
 184       197    197101     0     0    3      3     1   
 185       197    197101     0     0    0      0     0   
 186       197    197101     0     0    1      1     0   
 187       197    197101     0     0    3      1     0   
 188       197    197101     0     0    3      4     1   
 189       197    197101     0     0    5      5     1   
 190       197    197101     0     0    0      2     0   
 191       197    197101     0     0    4      3     1   
 192       197    197101     0     0    3      2     0   
 193       197    197102     0     0    1      4     1   
 194       197    197102     0     0    0      1     0   
 195       197    197102     0     0    2      1     0   
 196       197    197102     0     0    4      6     1   
 197       197    197102     0     0    2      2     0   
 198       197    197102     0     0    3      5     1   
 199       197    197102     0     0    3      3     1   
 200       197    197102     0     0    3      1     0   
 201       197    197102     0     0    3      4     1   
 202       197    197102     0     0    1      2     0   
 203       197    197102     0     0    3      2     0   
 204       197    197102     0     0    2      1     0   
 205       197    197102     0     0    2      1     0   
 206       197    197102     0     0    3      3     1   
 207       197    197102     0     0    2      2     0   
 208       197    197102     0     0    2      1     0   
 209       197    197102     0     0    2      1     0   
 210       197    197102     0     0    1      1     0   
 211       197    197102     0     0    2      1     0   
 212       197    197103     0     0    0      4     1   
 213       197    197103     0     0    1      3     1   
 214       197    197104     0     0    1      1     0   
 215       197    197104     0     0    2      3     1   
 216       197    197104     0     0    1      4     1   
 217       197    197104     0     0    2      2     0   
 218       198    198101     1     1    1      2     0   
 219       198    198101     1     1    2      4     1   
 220       198    198101     1     1    2      4     1   
 221       198    198101     1     1    4      5     1   
 222       198    198101     1     1    1      3     1   
 223       198    198101     1     1    3      5     1   
 224       198    198101     1     1    5      3     1   
 225       198    198101     1     1    3      1     0   
 226       198    198101     1     1    2      4     1   
 227       198    198101     1     1    2      4     1   
 228       198    198101     1     1    3      3     1   
 229       198    198101     1     1    3      4     1   
 230       198    198101     1     1    3      1     0   
 231       198    198101     1     1    0      0     0   
 232       198    198101     1     1    2      4     1   
 233       198    198101     1     1    3      4     1   
 234       198    198101     1     1    3      1     0   
 235       198    198101     1     1    3      4     1   
 236       198    198101     1     1    1      2     0   
 237       198    198101     1     1    2      4     1   
 238       198    198101     1     1    5      1     0   
 239       198    198102     1     1    3      3     1   
 240       198    198102     1     1    2      2     0   
 241       198    198102     1     1    1      4     1   
 242       198    198102     1     1    0      3     1   
 243       198    198102     1     1    3      4     1   
 244       198    198102     1     1    2      4     1   
 245       198    198102     1     1    1      2     0   
 246       198    198102     1     1    0      2     0   
 247       198    198102     1     1    1      2     0   
 248       198    198102     1     1    2      1     0   
 249       198    198102     1     1    2      1     0   
 250       198    198102     1     1    2      4     1   
 251       198    198102     1     1    1      2     0   
 252       198    198102     1     1    1      2     0   
 253       198    198102     1     1    3      1     0   
 254       198    198102     1     1    2      2     0   
 255       198    198103     1     1    2      2     0   
 256       198    198103     1     1    0      1     0   
 257       198    198103     1     1    3      2     0   
 258       198    198103     1     1    2      3     1   
 259       198    198103     1     1    1      3     1   
 260       198    198103     1     1    5      4     1   
 261       198    198103     1     1    1      3     1   
 262       198    198103     1     1    2      2     0   
 263       198    198103     1     1    2      2     0   
 264       198    198103     1     1    1      3     1   
 265       198    198103     1     1    1      1     0   
 266       198    198103     1     1    5      1     0   
 267       198    198103     1     1    1      0     0   
 268       198    198103     1     1    1      2     0   
 269       198    198103     1     1    4      3     1   
 270       199    199101     0     1    1      0     0   
 271       199    199101     0     1    4      4     1   
 272       199    199101     0     1    3      2     0   
 273       199    199101     0     1    0      1     0   
 274       199    199101     0     1    3      2     0   
 275       199    199101     0     1    2      1     0   
 276       199    199101     0     1    2      3     1   
 277       199    199101     0     1    1      3     1   
 278       199    199101     0     1    0      2     0   
 279       199    199101     0     1    1      3     1   
 280       199    199101     0     1    1      2     0   
 281       199    199101     0     1    1      4     1   
 282       199    199101     0     1    2      2     0   
 283       199    199102     0     1    1      0     0   
 284       199    199102     0     1    3      1     0   
 285       199    199103     0     1    2      3     1   
 286       199    199103     0     1    2      2     0   
 287       199    199103     0     1    1      0     0   
 288       199    199103     0     1    3      3     1   
 289       199    199103     0     1    2      1     0   
 290       199    199103     0     1    3      5     1   
 291       199    199103     0     1    1      1     0   
 292       199    199103     0     1    1      2     0   
 293       199    199103     0     1    1      5     1   
 294       199    199103     0     1    2      2     0   
 295       199    199103     0     1    3      3     1   
 296       199    199103     0     1    1      1     0   
 297       199    199103     0     1    4      2     0   
 298       199    199103     0     1    2      4     1   
 299       199    199104     0     1    1      1     0   
 300       199    199104     0     1    0      1     0   
 301       199    199104     0     1    2      3     1   
 302       199    199104     0     1    2      3     1   
 303       199    199104     0     1    2      1     0   
 304       199    199104     0     1    1      2     0   
 305       199    199104     0     1    2      3     1   
 306       199    199104     0     1    4      1     0   
 307       199    199104     0     1    2      3     1   
 308       199    199104     0     1    0      2     0   
 309       199    199104     0     1    2      1     0   
 310       199    199104     0     1    2      3     1   
 311       199    199104     0     1    2      1     0   
 312       199    199105     0     1    0      1     0   
 313       199    199106     0     1    2      4     1   
 314       199    199106     0     1    0      2     0   
 315       199    199106     0     1    3      2     0   
 316       199    199106     0     1    4      1     0   
 317       199    199106     0     1    2      2     0   
 318       199    199106     0     1    1      4     1   
 319       199    199106     0     1    0      3     1   
 320       199    199106     0     1    1      4     1   
 321       199    199106     0     1    3      2     0   
 322       199    199106     0     1    1      1     0   
 323       199    199106     0     1    1      2     0   
 324       199    199106     0     1    3      5     1   
 325       401    401101     1     1    3      4     1   
 326       401    401101     1     1    1      3     1   
 327       401    401101     1     1    3      1     0   
 328       401    401101     1     1    3      3     1   
 329       401    401101     1     1    1      2     0   
 330       401    401101     1     1    2      3     1   
 331       401    401101     1     1    1      3     1   
 332       401    401101     1     1    0      3     1   
 333       401    401101     1     1    3      5     1   
 334       401    401101     1     1    1      3     1   
 335       401    401101     1     1    3      3     1   
 336       401    401101     1     1    5      3     1   
 337       401    401101     1     1    2      4     1   
 338       401    401101     1     1    2      5     1   
 339       401    401101     1     1    0      2     0   
 340       401    401101     1     1    0      1     0   
 341       401    401101     1     1    2      5     1   
 342       401    401101     1     1    2      4     1   
 343       401    401102     1     1    2      4     1   
 344       401    401102     1     1    5      3     1   
 345       401    401102     1     1    3      4     1   
 346       401    401102     1     1    3      1     0   
 347       401    401102     1     1    0      2     0   
 348       401    401102     1     1    2      3     1   
 349       401    401102     1     1    4      3     1   
 350       401    401102     1     1    2      4     1   
 351       401    401102     1     1    3      2     0   
 352       401    401102     1     1    2      4     1   
 353       401    401102     1     1    2      3     1   
 354       401    401102     1     1    1      4     1   
 355       401    401102     1     1    4      3     1   
 356       401    401102     1     1    2      1     0   
 357       401    401102     1     1    2      2     0   
 358       401    401102     1     1    5      5     1   
 359       401    401102     1     1    2      4     1   
 360       401    401102     1     1    2      3     1   
 361       401    401102     1     1    2      3     1   
 362       401    401102     1     1    3      5     1   
 363       401    401102     1     1    3      3     1   
 364       402    402101     0     0    2      2     0   
 365       402    402101     0     0    3      4     1   
 366       402    402101     0     0    3      4     1   
 367       402    402101     0     0    2      2     0   
 368       402    402101     0     0    4      2     0   
 369       402    402101     0     0    2      3     1   
 370       402    402101     0     0    2      2     0   
 371       402    402101     0     0    3      2     0   
 372       402    402101     0     0    2      3     1   
 373       402    402101     0     0    4      5     1   
 374       402    402101     0     0    1      2     0   
 375       402    402101     0     0    1      4     1   
 376       402    402101     0     0    2      2     0   
 377       402    402101     0     0    2      4     1   
 378       402    402101     0     0    4      2     0   
 379       402    402101     0     0    1      2     0   
 380       402    402101     0     0    5      1     0   
 381       402    402102     0     0    0      3     1   
 382       402    402102     0     0    2      2     0   
 383       402    402102     0     0    2      2     0   
 384       402    402102     0     0    2      1     0   
 385       402    402102     0     0    3      2     0   
 386       402    402102     0     0    2      1     0   
 387       402    402102     0     0    1      0     0   
 388       402    402102     0     0    2      1     0   
 389       402    402102     0     0    3      1     0   
 390       402    402102     0     0    3      3     1   
 391       402    402102     0     0    2      1     0   
 392       402    402102     0     0    1      3     1   
 393       402    402102     0     0    4      4     1   
 394       402    402102     0     0    4      4     1   
 395       402    402102     0     0    6      7     1   
 396       402    402102     0     0    2      1     0   
 397       405    405101     0     1    3      3     1   
 398       405    405101     0     1    2      4     1   
 399       405    405101     0     1    1      3     1   
 400       405    405101     0     1    3      2     0   
 401       405    405101     0     1    3      2     0   
 402       405    405101     0     1    3      2     0   
 403       405    405101     0     1    3      4     1   
 404       405    405101     0     1    1      1     0   
 405       405    405101     0     1    2      3     1   
 406       405    405101     0     1    2      4     1   
 407       405    405101     0     1    2      2     0   
 408       405    405101     0     1    2      1     0   
 409       405    405101     0     1    5      5     1   
 410       405    405101     0     1    2      4     1   
 411       405    405101     0     1    4      4     1   
 412       405    405102     0     1    2      2     0   
 413       405    405102     0     1    0      2     0   
 414       405    405102     0     1    3      2     0   
 415       405    405102     0     1    1      1     0   
 416       405    405102     0     1    1      0     0   
 417       405    405102     0     1    4      5     1   
 418       405    405102     0     1    4      4     1   
 419       405    405102     0     1    2      1     0   
 420       405    405102     0     1    5      4     1   
 421       405    405102     0     1    1      1     0   
 422       405    405102     0     1    1      0     0   
 423       405    405102     0     1    2      3     1   
 424       405    405102     0     1    1      1     0   
 425       405    405102     0     1    1      1     0   
 426       405    405102     0     1    2      1     0   
 427       405    405102     0     1    3      2     0   
 428       405    405103     0     1    2      2     0   
 429       405    405103     0     1    2      1     0   
 430       405    405103     0     1    2      3     1   
 431       405    405103     0     1    5      4     1   
 432       405    405103     0     1    4      1     0   
 433       405    405103     0     1    4      4     1   
 434       405    405103     0     1    2      4     1   
 435       405    405103     0     1    2      1     0   
 436       405    405103     0     1    4      6     1   
 437       405    405103     0     1    2      3     1   
 438       405    405103     0     1    3      3     1   
 439       405    405103     0     1    0      3     1   
 440       405    405103     0     1    2      4     1   
 441       405    405103     0     1    2      1     0   
 442       405    405103     0     1    1      1     0   
 443       405    405103     0     1    0      2     0   
 444       405    405103     0     1    1      4     1   
 445       405    405103     0     1    4      3     1   
 446       405    405103     0     1    2      2     0   
 447       405    405103     0     1    1      3     1   
 448       405    405103     0     1    2      1     0   
 449       407    407101     0     1    1      4     1   
 450       407    407101     0     1    1      3     1   
 451       407    407101     0     1    2      1     0   
 452       407    407101     0     1    4      5     1   
 453       407    407101     0     1    1      3     1   
 454       407    407101     0     1    3      4     1   
 455       407    407101     0     1    2      4     1   
 456       407    407101     0     1    3      5     1   
 457       407    407101     0     1    1      5     1   
 458       407    407101     0     1    0      4     1   
 459       407    407101     0     1    1      4     1   
 460       407    407101     0     1    3      4     1   
 461       407    407101     0     1    3      4     1   
 462       407    407101     0     1    0      3     1   
 463       407    407101     0     1    2      5     1   
 464       407    407101     0     1    1      2     0   
 465       407    407101     0     1    1      3     1   
 466       407    407101     0     1    1      0     0   
 467       407    407101     0     1    3      4     1   
 468       407    407101     0     1    2      2     0   
 469       407    407101     0     1    3      3     1   
 470       407    407102     0     1    1      3     1   
 471       407    407102     0     1    2      2     0   
 472       407    407102     0     1    1      1     0   
 473       407    407102     0     1    3      4     1   
 474       407    407102     0     1    2      4     1   
 475       407    407102     0     1    0      3     1   
 476       407    407102     0     1    2      5     1   
 477       407    407102     0     1    2      5     1   
 478       407    407102     0     1    2      3     1   
 479       407    407102     0     1    2      3     1   
 480       407    407102     0     1    2      5     1   
 481       407    407102     0     1    2      2     0   
 482       407    407102     0     1    1      2     0   
 483       407    407102     0     1    1      3     1   
 484       407    407102     0     1    5      2     0   
 485       407    407102     0     1    2      3     1   
 486       407    407102     0     1    2      1     0   
 487       407    407102     0     1    2      4     1   
 488       407    407102     0     1    1      3     1   
 489       407    407102     0     1    1      1     0   
 490       407    407102     0     1    2      2     0   
 491       407    407102     0     1    0      1     0   
 492       407    407102     0     1    1      4     1   
 493       407    407102     0     1    1      4     1   
 494       407    407102     0     1    0      2     0   
 495       407    407102     0     1    3      4     1   
 496       407    407102     0     1    2      3     1   
 497       407    407103     0     1    3      1     0   
 498       407    407103     0     1    4      3     1   
 499       407    407103     0     1    2      4     1   
 500       407    407103     0     1    2      2     0   
 501       407    407103     0     1    1      1     0   
 502       407    407103     0     1    1      2     0   
 503       407    407103     0     1    3      3     1   
 504       407    407103     0     1    3      0     0   
 505       407    407103     0     1    5      5     1   
 506       407    407103     0     1    2      2     0   
 507       407    407103     0     1    1      0     0   
 508       407    407103     0     1    2      1     0   
 509       407    407103     0     1    1      4     1   
 510       407    407103     0     1    4      2     0   
 511       407    407103     0     1    4      2     0   
 512       407    407103     0     1    2      4     1   
 513       407    407103     0     1    3      3     1   
 514       408    408101     1     0    2      1     0   
 515       408    408101     1     0    2      1     0   
 516       408    408101     1     0    1      1     0   
 517       408    408102     1     0    0      0     0   
 518       408    408102     1     0    1      0     0   
 519       408    408103     1     0    3      3     1   
 520       408    408103     1     0    1      1     0   
 521       408    408103     1     0    5      5     1   
 522       408    408103     1     0    4      6     1   
 523       408    408103     1     0    4      4     1   
 524       408    408103     1     0    2      3     1   
 525       408    408103     1     0    4      4     1   
 526       408    408103     1     0    2      6     1   
 527       408    408103     1     0    2      2     0   
 528       408    408103     1     0    5      4     1   
 529       408    408103     1     0    2      4     1   
 530       408    408103     1     0    2      3     1   
 531       408    408103     1     0    1      2     0   
 532       408    408103     1     0    5      5     1   
 533       408    408103     1     0    4      6     1   
 534       408    408104     1     0    3      3     1   
 535       408    408104     1     0    1      3     1   
 536       408    408104     1     0    0      2     0   
 537       408    408104     1     0    0      3     1   
 538       408    408104     1     0    4      6     1   
 539       408    408104     1     0    2      2     0   
 540       408    408104     1     0    4      2     0   
 541       409    409101     0     0    1      2     0   
 542       409    409101     0     0    1      2     0   
 543       409    409101     0     0    4      4     1   
 544       409    409101     0     0    4      4     1   
 545       409    409101     0     0    1      3     1   
 546       409    409101     0     0    1      2     0   
 547       409    409101     0     0    3      1     0   
 548       409    409101     0     0    1      1     0   
 549       409    409101     0     0    3      4     1   
 550       409    409101     0     0    2      2     0   
 551       409    409101     0     0    4      4     1   
 552       409    409101     0     0    1      1     0   
 553       409    409101     0     0    2      1     0   
 554       409    409101     0     0    4      3     1   
 555       409    409101     0     0    2      1     0   
 556       409    409101     0     0    2      1     0   
 557       409    409101     0     0    1      2     0   
 558       409    409101     0     0    2      3     1   
 559       409    409101     0     0    0      4     1   
 560       409    409101     0     0    2      4     1   
 561       409    409101     0     0    1      5     1   
 562       409    409101     0     0    0      1     0   
 563       409    409101     0     0    3      3     1   
 564       409    409101     0     0    2      3     1   
 565       409    409102     0     0    2      1     0   
 566       409    409102     0     0    4      3     1   
 567       409    409102     0     0    2      4     1   
 568       409    409102     0     0    1      1     0   
 569       409    409102     0     0    2      1     0   
 570       409    409102     0     0    3      2     0   
 571       409    409102     0     0    1      2     0   
 572       409    409102     0     0    3      2     0   
 573       409    409102     0     0    1      3     1   
 574       409    409102     0     0    0      1     0   
 575       409    409102     0     0    4      3     1   
 576       409    409102     0     0    2      3     1   
 577       409    409102     0     0    5      3     1   
 578       409    409102     0     0    3      4     1   
 579       409    409102     0     0    4      1     0   
 580       409    409102     0     0    2      4     1   
 581       409    409102     0     0    3      1     0   
 582       409    409102     0     0    1      3     1   
 583       409    409102     0     0    2      1     0   
 584       409    409102     0     0    2      5     1   
 585       409    409102     0     0    0      2     0   
 586       409    409102     0     0    1      3     1   
 587       409    409103     0     0    3      3     1   
 588       409    409103     0     0    2      3     1   
 589       409    409103     0     0    2      1     0   
 590       409    409103     0     0    2      3     1   
 591       409    409103     0     0    0      3     1   
 592       409    409103     0     0    2      1     0   
 593       409    409103     0     0    1      2     0   
 594       409    409103     0     0    2      1     0   
 595       409    409103     0     0    1      2     0   
 596       409    409103     0     0    2      2     0   
 597       409    409103     0     0    1      0     0   
 598       409    409103     0     0    3      2     0   
 599       409    409103     0     0    1      0     0   
 600       409    409103     0     0    3      2     0   
 601       409    409103     0     0    1      0     0   
 602       409    409104     0     0    3      5     1   
 603       409    409104     0     0    3      2     0   
 604       409    409104     0     0    1      1     0   
 605       409    409104     0     0    5      6     1   
 606       409    409104     0     0    2      2     0   
 607       409    409104     0     0    2      4     1   
 608       409    409104     0     0    2      3     1   
 609       409    409104     0     0    2      2     0   
 610       409    409104     0     0    3      2     0   
 611       409    409104     0     0    4      3     1   
 612       409    409104     0     0    2      3     1   
 613       409    409104     0     0    2      2     0   
 614       409    409104     0     0    3      4     1   
 615       409    409104     0     0    3      5     1   
 616       409    409104     0     0    3      3     1   
 617       409    409104     0     0    2      4     1   
 618       409    409104     0     0    3      4     1   
 619       409    409104     0     0    3      1     0   
 620       409    409104     0     0    3      4     1   
 621       410    410101     1     1    3      1     0   
 622       410    410101     1     1    2      1     0   
 623       410    410101     1     1    0      1     0   
 624       410    410101     1     1    0      1     0   
 625       410    410101     1     1    4      4     1   
 626       410    410101     1     1    1      2     0   
 627       410    410101     1     1    1      3     1   
 628       410    410102     1     1    1      3     1   
 629       410    410102     1     1    1      3     1   
 630       410    410102     1     1    2      1     0   
 631       410    410102     1     1    4      0     0   
 632       410    410102     1     1    1      3     1   
 633       410    410102     1     1    0      2     0   
 634       410    410102     1     1    2      5     1   
 635       410    410102     1     1    2      2     0   
 636       410    410102     1     1    2      3     1   
 637       410    410102     1     1    3      3     1   
 638       410    410102     1     1    1      2     0   
 639       410    410102     1     1    2      2     0   
 640       410    410103     1     1    2      4     1   
 641       410    410103     1     1    2      2     0   
 642       410    410103     1     1    1      1     0   
 643       410    410103     1     1    3      3     1   
 644       410    410103     1     1    2      3     1   
 645       410    410103     1     1    1      1     0   
 646       410    410103     1     1    1      4     1   
 647       410    410103     1     1    5      1     0   
 648       410    410104     1     1    4      1     0   
 649       410    410104     1     1    1      2     0   
 650       410    410104     1     1    1      2     0   
 651       410    410104     1     1    0      1     0   
 652       410    410104     1     1    3      1     0   
 653       410    410104     1     1    0      2     0   
 654       411    411101     0     1    3      3     1   
 655       411    411101     0     1    1      2     0   
 656       411    411101     0     1    3      3     1   
 657       411    411101     0     1    4      3     1   
 658       411    411101     0     1    2      3     1   
 659       411    411101     0     1    2      5     1   
 660       411    411101     0     1    3      4     1   
 661       411    411101     0     1    6      5     1   
 662       411    411101     0     1    4      2     0   
 663       411    411101     0     1    1      4     1   
 664       411    411101     0     1    3      3     1   
 665       411    411102     0     1    5      5     1   
 666       411    411102     0     1    3      4     1   
 667       411    411102     0     1    4      4     1   
 668       411    411102     0     1    3      3     1   
 669       411    411102     0     1    4      4     1   
 670       411    411102     0     1    4      2     0   
 671       411    411102     0     1    0      0     0   
 672       412    412101     1     0    1      3     1   
 673       412    412101     1     0    3      5     1   
 674       412    412101     1     0    1      5     1   
 675       412    412101     1     0    2      3     1   
 676       412    412101     1     0    1      4     1   
 677       412    412101     1     0    1      2     0   
 678       412    412101     1     0    2      0     0   
 679       412    412102     1     0    1      1     0   
 680       412    412102     1     0    2      3     1   
 681       412    412102     1     0    4      4     1   
 682       412    412102     1     0    2      1     0   
 683       412    412102     1     0    1      1     0   
 684       412    412102     1     0    2      3     1   
 685       412    412102     1     0    3      4     1   
 686       412    412102     1     0    1      4     1   
 687       412    412103     1     0    3      1     0   
 688       412    412103     1     0    3      3     1   
 689       412    412103     1     0    1      2     0   
 690       412    412104     1     0    2      3     1   
 691       412    412104     1     0    0      2     0   
 692       412    412104     1     0    1      5     1   
 693       412    412104     1     0    1      3     1   
 694       412    412104     1     0    0      3     1   
 695       412    412105     1     0    1      3     1   
 696       412    412105     1     0    0      1     0   
 697       412    412105     1     0    4      2     0   
 698       412    412105     1     0    3      4     1   
 699       412    412105     1     0    2      2     0   
 700       412    412105     1     0    1      0     0   
 701       412    412105     1     0    0      2     0   
 702       412    412105     1     0    1      3     1   
 703       412    412106     1     0    3      3     1   
 704       412    412106     1     0    1      4     1   
 705       412    412106     1     0    0      3     1   
 706       414    414101     1     0    1      3     1   
 707       414    414101     1     0    1      2     0   
 708       414    414101     1     0    2      2     0   
 709       414    414101     1     0    3      4     1   
 710       414    414101     1     0    2      6     1   
 711       414    414101     1     0    1      1     0   
 712       414    414101     1     0    0      3     1   
 713       414    414101     1     0    3      2     0   
 714       414    414102     1     0    3      2     0   
 715       414    414102     1     0    0      3     1   
 716       414    414102     1     0    4      3     1   
 717       414    414102     1     0    0      3     1   
 718       414    414102     1     0    4      5     1   
 719       414    414102     1     0    0      4     1   
 720       414    414102     1     0    1      2     0   
 721       414    414102     1     0    1      4     1   
 722       414    414102     1     0    2      2     0   
 723       414    414104     1     0    2      4     1   
 724       414    414104     1     0    2      1     0   
 725       414    414104     1     0    1      2     0   
 726       414    414104     1     0    0      4     1   
 727       414    414104     1     0    3      2     0   
 728       414    414104     1     0    1      5     1   
 729       414    414104     1     0    2      2     0   
 730       414    414104     1     0    1      2     0   
 731       414    414105     1     0    3      6     1   
 732       414    414105     1     0    4      2     0   
 733       414    414106     1     0    1      3     1   
 734       414    414106     1     0    2      3     1   
